 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,5,3,5,7,3,0,0
01:00 - 02:00,1,2,2,0,5,1,1
02:00 - 03:00,14,1,1,10,0,0,0
03:00 - 04:00,1,1,3,1,3,0,0
04:00 - 05:00,1,0,1,1,0,0,0
05:00 - 06:00,1,0,1,0,0,0,0
06:00 - 07:00,0,1,1,1,0,0,1
07:00 - 08:00,0,1,3,2,1,0,0
08:00 - 09:00,1,4,15,3,1,0,0
09:00 - 10:00,24,20,49,22,13,0,0
10:00 - 11:00,61,39,34,23,42,0,1
11:00 - 12:00,64,90,38,48,43,0,2
12:00 - 13:00,53,58,52,53,43,0,0
13:00 - 14:00,69,74,55,71,70,1,0
14:00 - 15:00,66,48,52,55,52,1,6
15:00 - 16:00,70,58,71,55,47,1,2
16:00 - 17:00,91,56,94,59,37,0,2
17:00 - 18:00,53,63,45,42,195,0,10
18:00 - 19:00,35,42,48,139,43,1,0
19:00 - 20:00,25,39,19,35,25,0,4
20:00 - 21:00,13,14,12,15,7,0,2
21:00 - 22:00,5,36,6,15,4,0,5
22:00 - 23:00,9,10,10,7,0,0,4
23:00 - 00:00,10,7,7,8,2,0,1
