 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,7,5,6,9,8,4,16
01:00 - 02:00,20,3,15,8,5,10,7
02:00 - 03:00,4,3,3,4,6,2,2
03:00 - 04:00,0,3,0,9,1,4,1
04:00 - 05:00,1,0,1,1,1,1,2
05:00 - 06:00,0,1,1,0,0,0,1
06:00 - 07:00,1,1,0,0,0,0,1
07:00 - 08:00,3,0,1,1,1,2,3
08:00 - 09:00,1,2,5,8,3,2,2
09:00 - 10:00,7,11,9,12,8,0,1
10:00 - 11:00,53,32,47,27,25,13,13
11:00 - 12:00,903,388,449,286,353,18,11
12:00 - 13:00,230,263,213,196,180,10,34
13:00 - 14:00,185,223,155,261,179,3,2
14:00 - 15:00,130,134,69,66,101,6,0
15:00 - 16:00,79,95,132,55,92,7,12
16:00 - 17:00,3231,139,83,156,158,10,6
17:00 - 18:00,126,161,140,147,168,6,7
18:00 - 19:00,117,105,169,125,199,12,10
19:00 - 20:00,18,19,13,18,28,9,12
20:00 - 21:00,35,11,5,2,4,9,16
21:00 - 22:00,15,21,14,8,20,26,26
22:00 - 23:00,9,9,10,13,14,5,13
23:00 - 00:00,8,5,11,17,12,26,28
