 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,5,7,10,12,8,6,3
01:00 - 02:00,8,9,12,6,9,7,2
02:00 - 03:00,2,6,11,12,8,8,3
03:00 - 04:00,3,5,12,5,3,2,9
04:00 - 05:00,2,6,14,9,7,8,4
05:00 - 06:00,1,12,7,10,5,2,3
06:00 - 07:00,3,2,2,10,6,0,4
07:00 - 08:00,1,0,7,4,2,4,1
08:00 - 09:00,3,6,3,2,4,4,4
09:00 - 10:00,4,6,6,5,3,1,4
10:00 - 11:00,6,3,3,5,6,6,2
11:00 - 12:00,3,6,3,7,6,5,4
12:00 - 13:00,5,3,8,5,7,10,3
13:00 - 14:00,2,5,14,6,10,4,3
14:00 - 15:00,6,11,13,4,11,8,4
15:00 - 16:00,6,9,6,4,14,6,8
16:00 - 17:00,5,16,12,8,9,7,4
17:00 - 18:00,8,17,8,14,16,6,3
18:00 - 19:00,3,12,12,10,7,8,4
19:00 - 20:00,9,16,17,16,8,12,3
20:00 - 21:00,7,15,7,11,12,2,5
21:00 - 22:00,11,20,19,4,15,7,8
22:00 - 23:00,12,17,9,13,7,4,9
23:00 - 00:00,10,20,9,6,7,6,4
