 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,9,11,11,5,7,14,14
01:00 - 02:00,17,15,13,4,15,14,7
02:00 - 03:00,5,4,8,10,28,4,9
03:00 - 04:00,5,2,5,8,5,4,8
04:00 - 05:00,4,2,5,16,5,7,6
05:00 - 06:00,1,5,1,2,7,4,15
06:00 - 07:00,7,2,2,3,1,1,8
07:00 - 08:00,2,2,3,0,5,3,4
08:00 - 09:00,6,4,12,2,2,1,2
09:00 - 10:00,17,12,16,8,6,5,2
10:00 - 11:00,14,15,10,24,16,3,2
11:00 - 12:00,52,33,14,19,31,3,11
12:00 - 13:00,83,20,13,21,41,9,13
13:00 - 14:00,45,24,27,33,19,19,16
14:00 - 15:00,78,44,43,25,28,29,38
15:00 - 16:00,51,64,41,31,33,23,36
16:00 - 17:00,94,46,56,78,57,12,32
17:00 - 18:00,55,37,30,47,36,29,40
18:00 - 19:00,48,33,38,32,29,17,28
19:00 - 20:00,20,31,27,29,33,37,30
20:00 - 21:00,20,31,32,19,24,19,45
21:00 - 22:00,13,19,7,12,8,12,16
22:00 - 23:00,31,9,13,11,16,14,10
23:00 - 00:00,15,22,21,20,16,17,11
