 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.13,0.46,0.46,0.26,0.33,0.2,0.0
01:00 - 02:00,0.13,0.52,0.07,0.26,0.2,0.2,0.0
02:00 - 03:00,0.0,0.13,0.33,0.39,0.26,0.0,0.0
03:00 - 04:00,0.0,0.0,0.13,0.46,0.2,0.2,0.0
04:00 - 05:00,0.0,0.39,0.07,0.2,0.13,0.39,0.0
05:00 - 06:00,0.13,0.26,0.07,0.07,0.13,0.26,0.0
06:00 - 07:00,0.07,0.07,0.07,0.07,0.26,0.0,0.07
07:00 - 08:00,0.33,0.13,0.0,0.2,0.07,0.0,0.0
08:00 - 09:00,0.0,0.13,0.26,0.07,0.2,0.0,0.0
09:00 - 10:00,0.26,0.72,0.59,0.39,0.13,0.07,0.0
10:00 - 11:00,0.52,0.52,0.39,0.46,0.2,0.0,0.0
11:00 - 12:00,0.07,0.39,0.2,0.52,0.52,0.07,0.0
12:00 - 13:00,0.33,0.52,0.33,0.33,0.26,0.07,0.0
13:00 - 14:00,0.46,0.59,0.2,0.46,0.26,0.0,0.0
14:00 - 15:00,0.65,2.02,0.52,1.11,1.04,0.07,0.07
15:00 - 16:00,2.41,3.38,1.43,2.21,0.72,0.07,0.0
16:00 - 17:00,2.15,1.76,1.82,1.69,1.11,0.0,0.0
17:00 - 18:00,1.5,1.69,1.3,1.56,1.63,0.2,0.0
18:00 - 19:00,3.12,3.06,1.56,1.76,1.69,0.07,0.13
19:00 - 20:00,1.95,2.08,1.95,2.28,1.37,0.0,0.07
20:00 - 21:00,2.28,2.28,2.54,2.08,1.76,0.0,0.0
21:00 - 22:00,2.28,1.56,1.56,0.85,1.63,0.0,0.07
22:00 - 23:00,1.04,0.98,0.98,1.3,0.78,0.07,0.13
23:00 - 00:00,0.78,0.65,0.59,1.04,0.59,0.0,0.0
