 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.17,0.34,0.26,0.3,0.39,0.17,0.04
01:00 - 02:00,0.3,0.04,0.26,0.34,0.39,0.21,0.17
02:00 - 03:00,0.34,0.34,0.21,0.69,0.3,0.26,0.04
03:00 - 04:00,0.21,0.21,0.21,0.17,0.47,0.13,0.17
04:00 - 05:00,0.13,0.39,0.17,0.43,0.3,0.09,0.0
05:00 - 06:00,0.3,0.17,0.26,0.39,0.21,0.09,0.09
06:00 - 07:00,0.17,0.3,0.3,0.13,0.09,0.09,0.04
07:00 - 08:00,0.39,0.26,0.26,0.39,0.13,0.04,0.04
08:00 - 09:00,0.17,0.43,0.34,0.47,0.17,0.04,0.04
09:00 - 10:00,0.13,0.39,0.26,0.47,0.26,0.04,0.04
10:00 - 11:00,0.39,0.52,0.47,0.69,0.47,0.21,0.04
11:00 - 12:00,0.34,0.73,0.34,0.3,0.26,0.0,0.0
12:00 - 13:00,0.99,1.25,0.73,0.6,0.6,0.21,0.09
13:00 - 14:00,1.2,1.03,1.03,1.03,0.69,0.04,0.17
14:00 - 15:00,0.56,1.85,1.12,1.55,1.2,0.17,0.09
15:00 - 16:00,1.76,1.5,1.38,2.02,1.68,0.13,0.0
16:00 - 17:00,1.38,1.63,1.46,1.55,1.03,0.0,0.04
17:00 - 18:00,1.03,1.8,1.72,1.46,1.98,0.09,0.17
18:00 - 19:00,1.5,1.07,1.72,1.25,1.93,0.04,0.13
19:00 - 20:00,1.8,2.02,1.63,1.98,1.5,0.04,0.43
20:00 - 21:00,1.33,1.63,2.11,1.55,1.25,0.09,0.0
21:00 - 22:00,1.5,1.55,1.16,1.42,1.12,0.13,0.0
22:00 - 23:00,1.33,1.07,0.99,0.95,0.77,0.04,0.0
23:00 - 00:00,0.17,0.39,0.56,0.43,0.26,0.04,0.26
