 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.03,0.0,0.06,0.05,0.08,0.01,0.01
01:00 - 02:00,0.01,0.02,0.02,0.02,0.03,0.0,0.03
02:00 - 03:00,0.03,0.03,0.02,0.02,0.02,0.0,0.05
03:00 - 04:00,0.01,0.0,0.01,0.0,0.0,0.01,0.03
04:00 - 05:00,0.05,0.04,0.06,0.04,0.03,0.0,0.01
05:00 - 06:00,0.12,0.15,0.15,0.16,0.17,0.02,0.01
06:00 - 07:00,0.38,0.38,0.39,0.37,0.32,0.03,0.0
07:00 - 08:00,0.84,0.76,0.85,0.84,0.8,0.04,0.03
08:00 - 09:00,1.42,1.3,1.07,1.33,1.05,0.01,0.05
09:00 - 10:00,1.88,1.51,1.69,1.46,1.31,0.03,0.05
10:00 - 11:00,2.13,1.82,1.95,1.73,1.66,0.01,0.06
11:00 - 12:00,2.09,2.08,1.95,1.96,1.79,0.03,0.04
12:00 - 13:00,2.16,2.23,2.04,2.26,1.7,0.05,0.02
13:00 - 14:00,2.29,2.38,2.03,2.15,1.86,0.02,0.07
14:00 - 15:00,1.78,1.87,2.07,1.84,1.69,0.07,0.05
15:00 - 16:00,1.97,2.08,2.08,1.61,2.14,0.04,0.1
16:00 - 17:00,1.44,1.55,1.58,1.62,1.0,0.03,0.03
17:00 - 18:00,0.85,1.01,1.06,0.92,0.57,0.07,0.01
18:00 - 19:00,0.5,0.58,0.57,0.54,0.31,0.05,0.06
19:00 - 20:00,0.24,0.32,0.34,0.22,0.18,0.11,0.08
20:00 - 21:00,0.17,0.14,0.18,0.26,0.11,0.06,0.09
21:00 - 22:00,0.12,0.09,0.13,0.16,0.13,0.03,0.04
22:00 - 23:00,0.1,0.09,0.03,0.07,0.06,0.02,0.02
23:00 - 00:00,0.04,0.02,0.09,0.06,0.02,0.0,0.05
