 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,0,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,1,0,0,2,0,0,0
07:00 - 08:00,0,4,0,1,0,0,0
08:00 - 09:00,3,5,5,1,1,1,0
09:00 - 10:00,3,12,0,0,2,0,4
10:00 - 11:00,3,3,1,1,0,0,2
11:00 - 12:00,0,12,2,2,0,0,0
12:00 - 13:00,0,6,3,11,3,0,4
13:00 - 14:00,7,2,4,6,0,0,1
14:00 - 15:00,6,4,3,7,4,0,3
15:00 - 16:00,4,16,36,7,1,0,0
16:00 - 17:00,1,4,5,4,2,0,0
17:00 - 18:00,1,1,1,2,8,0,0
18:00 - 19:00,2,0,7,3,3,0,0
19:00 - 20:00,1,1,19,13,1,0,0
20:00 - 21:00,1,5,5,1,2,0,0
21:00 - 22:00,1,3,1,0,1,0,0
22:00 - 23:00,3,0,0,0,0,0,0
23:00 - 00:00,2,0,0,1,0,0,0
