 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.11,0.0,0.11,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.23,0.0,0.11,0.11,0.0,0.0
03:00 - 04:00,0.0,0.23,0.0,0.46,0.0,0.0,0.0
04:00 - 05:00,0.11,0.34,0.11,0.0,0.46,0.0,0.0
05:00 - 06:00,0.23,0.69,0.23,0.34,0.57,0.34,0.0
06:00 - 07:00,0.34,0.46,0.0,1.38,0.11,0.0,0.0
07:00 - 08:00,0.23,0.8,1.03,2.53,0.46,0.11,0.0
08:00 - 09:00,1.61,1.03,0.69,1.61,2.76,0.0,0.0
09:00 - 10:00,0.57,1.61,1.03,1.15,3.21,0.11,0.0
10:00 - 11:00,1.95,1.49,3.21,1.49,1.15,0.11,0.0
11:00 - 12:00,1.15,1.15,1.61,1.95,1.26,0.11,0.0
12:00 - 13:00,1.15,0.8,1.26,0.92,0.34,0.11,0.0
13:00 - 14:00,0.92,1.49,2.76,2.07,1.49,0.0,0.11
14:00 - 15:00,2.18,1.72,1.72,1.15,1.03,0.0,0.0
15:00 - 16:00,0.57,1.15,1.49,1.15,1.61,0.0,0.23
16:00 - 17:00,0.8,0.92,2.18,3.56,1.49,0.0,0.0
17:00 - 18:00,0.46,0.0,2.76,0.69,1.03,0.0,0.0
18:00 - 19:00,0.57,0.46,1.84,0.57,0.69,0.0,0.0
19:00 - 20:00,0.46,2.41,0.34,0.69,0.34,0.0,0.0
20:00 - 21:00,0.69,0.57,1.03,0.11,0.69,0.0,0.0
21:00 - 22:00,0.34,0.11,0.57,0.11,0.46,0.0,0.0
22:00 - 23:00,0.34,0.34,0.0,0.0,0.11,0.0,0.0
23:00 - 00:00,0.0,0.11,0.0,0.11,0.0,0.0,0.23
