 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.19,0.39,0.29,0.48,0.44,0.07,0.1
01:00 - 02:00,0.29,0.24,0.36,0.48,0.51,0.1,0.12
02:00 - 03:00,0.46,0.75,0.7,0.94,0.58,0.15,0.02
03:00 - 04:00,0.6,1.16,1.14,0.99,0.73,0.17,0.1
04:00 - 05:00,0.97,1.14,1.28,1.45,1.19,0.17,0.1
05:00 - 06:00,1.16,0.94,1.5,1.28,1.16,0.1,0.0
06:00 - 07:00,0.97,1.04,1.45,1.4,0.8,0.1,0.05
07:00 - 08:00,1.31,0.85,1.35,1.48,0.94,0.12,0.05
08:00 - 09:00,1.04,1.67,1.14,1.38,0.99,0.07,0.17
09:00 - 10:00,1.64,1.77,1.81,1.52,1.23,0.17,0.05
10:00 - 11:00,1.19,1.43,1.57,1.19,1.11,0.27,0.07
11:00 - 12:00,1.21,1.4,1.23,1.45,0.85,0.19,0.02
12:00 - 13:00,0.9,1.23,1.19,1.14,0.94,0.12,0.12
13:00 - 14:00,0.85,1.26,1.21,1.04,0.73,0.15,0.22
14:00 - 15:00,0.6,0.94,0.92,0.99,0.58,0.12,0.24
15:00 - 16:00,0.6,0.94,0.75,0.73,0.68,0.1,0.15
16:00 - 17:00,0.34,0.9,0.85,0.73,0.56,0.17,0.05
17:00 - 18:00,0.46,0.48,0.58,0.58,0.36,0.05,0.07
18:00 - 19:00,0.53,0.27,0.19,0.46,0.41,0.05,0.02
19:00 - 20:00,0.15,0.29,0.6,0.36,0.24,0.05,0.02
20:00 - 21:00,0.19,0.27,0.39,0.36,0.34,0.1,0.07
21:00 - 22:00,0.19,0.22,0.22,0.31,0.02,0.02,0.07
22:00 - 23:00,0.31,0.27,0.46,0.15,0.15,0.05,0.15
23:00 - 00:00,0.31,0.29,0.39,0.41,0.05,0.05,0.22
