 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,0,0,0,0,1,1
01:00 - 02:00,0,1,0,0,0,0,0
02:00 - 03:00,1,0,1,0,0,1,1
03:00 - 04:00,0,0,1,1,2,0,0
04:00 - 05:00,0,1,1,2,0,0,0
05:00 - 06:00,1,0,2,1,1,0,1
06:00 - 07:00,2,2,2,1,0,0,0
07:00 - 08:00,2,1,1,1,0,0,0
08:00 - 09:00,2,3,2,3,4,0,0
09:00 - 10:00,5,2,0,5,4,0,1
10:00 - 11:00,2,6,4,7,3,5,0
11:00 - 12:00,2,7,11,4,3,3,1
12:00 - 13:00,3,2,3,1,4,0,1
13:00 - 14:00,10,5,7,4,5,4,0
14:00 - 15:00,6,5,11,4,3,1,1
15:00 - 16:00,12,3,5,4,5,0,1
16:00 - 17:00,7,5,5,1,1,1,1
17:00 - 18:00,4,9,3,2,2,1,3
18:00 - 19:00,2,1,2,0,1,0,1
19:00 - 20:00,1,2,3,3,3,2,1
20:00 - 21:00,5,0,2,2,2,3,0
21:00 - 22:00,3,5,1,4,1,2,1
22:00 - 23:00,10,14,16,12,5,2,15
23:00 - 00:00,3,6,4,2,7,2,4
