 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,0,0
01:00 - 02:00,1,0,1,0,0,1,0
02:00 - 03:00,2,0,1,0,0,0,0
03:00 - 04:00,2,3,3,1,5,1,1
04:00 - 05:00,2,0,4,2,2,0,0
05:00 - 06:00,3,2,0,2,1,0,0
06:00 - 07:00,2,2,4,2,2,0,0
07:00 - 08:00,2,2,2,2,3,0,0
08:00 - 09:00,7,10,3,5,2,0,0
09:00 - 10:00,9,9,2,5,9,0,0
10:00 - 11:00,6,7,12,13,3,0,0
11:00 - 12:00,7,11,6,5,11,0,0
12:00 - 13:00,8,6,7,6,8,0,1
13:00 - 14:00,8,6,6,9,9,0,0
14:00 - 15:00,10,11,4,8,6,0,1
15:00 - 16:00,8,5,6,11,4,0,0
16:00 - 17:00,9,10,11,10,6,1,0
17:00 - 18:00,5,7,8,3,11,0,1
18:00 - 19:00,6,5,5,9,4,0,1
19:00 - 20:00,3,2,2,7,0,0,0
20:00 - 21:00,4,1,4,5,1,0,1
21:00 - 22:00,5,2,4,2,1,0,0
22:00 - 23:00,2,1,2,1,0,0,0
23:00 - 00:00,1,0,0,1,0,0,1
