 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,0,1,1,0,0,0
01:00 - 02:00,0,1,0,1,0,0,0
02:00 - 03:00,2,1,4,0,0,0,0
03:00 - 04:00,0,2,1,1,1,0,0
04:00 - 05:00,2,2,2,3,2,1,0
05:00 - 06:00,2,7,0,2,1,0,0
06:00 - 07:00,10,1,2,4,0,0,0
07:00 - 08:00,4,5,1,1,3,0,0
08:00 - 09:00,7,5,9,2,3,2,0
09:00 - 10:00,0,7,6,2,0,0,0
10:00 - 11:00,6,5,6,3,6,0,0
11:00 - 12:00,0,0,3,3,4,0,0
12:00 - 13:00,11,9,2,1,4,0,0
13:00 - 14:00,15,20,3,9,10,0,0
14:00 - 15:00,8,6,12,16,22,0,0
15:00 - 16:00,3,7,5,4,5,0,0
16:00 - 17:00,8,3,4,4,1,0,0
17:00 - 18:00,3,4,2,6,1,0,1
18:00 - 19:00,5,7,9,5,3,0,0
19:00 - 20:00,12,3,5,6,4,0,0
20:00 - 21:00,3,6,5,4,3,1,0
21:00 - 22:00,1,1,2,2,1,0,0
22:00 - 23:00,0,1,0,0,1,0,0
23:00 - 00:00,0,0,0,0,0,0,0
