 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.57,0.68,0.45,0.34,0.0,0.11,0.11
01:00 - 02:00,0.0,0.34,0.11,0.11,0.11,0.34,0.0
02:00 - 03:00,0.11,0.45,0.45,0.23,0.45,0.0,0.0
03:00 - 04:00,0.0,0.34,0.45,0.79,0.0,0.11,0.0
04:00 - 05:00,0.11,0.45,0.34,1.25,0.91,0.0,0.0
05:00 - 06:00,0.45,0.45,0.34,1.02,0.34,0.0,0.0
06:00 - 07:00,0.79,0.57,0.45,0.91,0.34,0.0,0.34
07:00 - 08:00,0.68,0.79,0.79,0.79,0.91,0.0,0.23
08:00 - 09:00,0.23,1.02,1.02,1.02,0.68,0.11,0.0
09:00 - 10:00,1.02,0.79,1.82,1.7,1.02,0.11,0.0
10:00 - 11:00,1.7,1.36,1.36,1.48,1.14,0.0,0.11
11:00 - 12:00,1.82,2.38,1.82,2.04,1.14,0.11,0.11
12:00 - 13:00,1.7,1.93,1.48,1.36,1.02,0.23,0.11
13:00 - 14:00,1.25,2.16,1.59,2.04,0.79,0.23,0.11
14:00 - 15:00,1.25,1.14,2.5,1.14,1.02,0.11,0.0
15:00 - 16:00,0.91,1.7,1.25,1.02,1.48,0.57,0.23
16:00 - 17:00,0.45,1.02,1.36,1.02,0.79,0.0,0.23
17:00 - 18:00,0.91,1.7,1.48,0.79,0.79,0.0,0.23
18:00 - 19:00,0.34,0.91,0.45,0.91,1.02,0.0,0.23
19:00 - 20:00,0.45,0.23,0.34,0.45,0.23,0.0,0.11
20:00 - 21:00,0.57,0.23,0.34,0.11,0.0,0.11,0.0
21:00 - 22:00,0.23,0.68,0.57,0.11,0.0,0.11,0.0
22:00 - 23:00,0.68,0.23,0.34,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.34,0.11,0.45,0.11,0.11,0.68
