 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.41,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.21,0.21,0.0,0.0
02:00 - 03:00,0.0,0.21,0.21,0.0,0.0,0.21,0.0
03:00 - 04:00,0.83,0.62,0.0,0.21,0.83,0.0,0.0
04:00 - 05:00,0.83,0.21,1.66,1.24,2.28,0.0,0.0
05:00 - 06:00,1.86,0.21,1.04,0.83,1.04,0.0,0.0
06:00 - 07:00,1.24,0.62,0.21,1.45,1.66,0.0,0.41
07:00 - 08:00,0.83,1.45,0.41,1.45,1.45,0.0,0.0
08:00 - 09:00,2.07,2.9,3.52,0.62,1.45,0.21,0.41
09:00 - 10:00,1.24,1.66,1.24,2.07,1.24,0.21,0.21
10:00 - 11:00,1.66,1.24,2.48,1.66,0.83,0.21,0.0
11:00 - 12:00,1.04,3.11,0.83,1.66,1.04,0.21,0.0
12:00 - 13:00,1.04,1.04,0.83,0.41,0.41,0.0,0.0
13:00 - 14:00,1.04,0.62,0.62,1.04,0.62,0.0,0.21
14:00 - 15:00,0.41,0.21,0.62,1.66,0.21,0.21,0.62
15:00 - 16:00,0.83,0.0,1.04,0.62,0.21,0.0,0.41
16:00 - 17:00,0.62,1.04,1.24,0.83,0.41,0.21,0.62
17:00 - 18:00,0.62,0.62,0.83,0.41,0.62,0.21,0.62
18:00 - 19:00,0.83,0.21,0.21,1.45,0.21,0.0,0.83
19:00 - 20:00,1.04,0.62,0.21,1.45,1.04,0.0,0.62
20:00 - 21:00,0.0,0.41,0.21,1.04,0.0,0.0,0.21
21:00 - 22:00,0.21,0.62,0.83,0.41,0.0,0.0,0.41
22:00 - 23:00,0.0,0.0,0.83,0.0,0.21,0.0,0.21
23:00 - 00:00,0.0,0.0,0.41,0.0,0.0,0.21,0.0
