 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.06,0.2,0.17,0.15,0.07,0.0,0.02
01:00 - 02:00,0.13,0.13,0.09,0.17,0.15,0.02,0.0
02:00 - 03:00,0.31,0.44,0.18,0.33,0.35,0.04,0.0
03:00 - 04:00,0.41,0.65,1.14,0.46,0.54,0.06,0.0
04:00 - 05:00,0.68,1.14,0.89,1.02,0.59,0.0,0.0
05:00 - 06:00,0.81,1.5,1.27,1.05,0.59,0.0,0.02
06:00 - 07:00,0.94,1.57,0.9,0.98,0.7,0.02,0.04
07:00 - 08:00,1.14,1.66,0.94,0.9,0.96,0.02,0.02
08:00 - 09:00,1.11,2.07,1.46,1.48,1.11,0.04,0.02
09:00 - 10:00,1.09,2.49,2.05,1.5,1.75,0.04,0.06
10:00 - 11:00,1.13,2.05,2.11,1.42,1.46,0.07,0.04
11:00 - 12:00,1.33,1.16,1.48,1.55,1.07,0.06,0.04
12:00 - 13:00,1.03,1.53,1.29,1.27,1.11,0.11,0.0
13:00 - 14:00,1.29,1.37,1.4,5.5,0.89,0.06,0.0
14:00 - 15:00,0.89,1.02,1.4,1.29,0.96,0.07,0.0
15:00 - 16:00,0.79,1.26,1.18,1.27,1.4,0.13,0.0
16:00 - 17:00,0.66,0.79,0.96,0.81,0.5,0.13,0.02
17:00 - 18:00,0.39,0.55,0.66,0.78,0.48,0.07,0.02
18:00 - 19:00,0.26,0.28,0.33,0.42,0.24,0.11,0.0
19:00 - 20:00,0.31,0.09,0.18,0.22,0.24,0.13,0.02
20:00 - 21:00,0.17,0.26,0.26,0.24,0.22,0.06,0.06
21:00 - 22:00,0.11,0.15,0.28,0.13,0.15,0.07,0.06
22:00 - 23:00,0.13,0.22,0.24,0.11,0.09,0.07,0.06
23:00 - 00:00,0.17,0.13,0.18,0.2,0.06,0.04,0.06
