 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.35,0.53,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.35,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.88,0.0,0.0
06:00 - 07:00,0.88,0.18,1.4,0.35,0.18,0.0,0.0
07:00 - 08:00,0.53,2.8,1.05,0.53,0.35,0.0,0.0
08:00 - 09:00,2.8,18.74,1.58,0.18,1.4,0.0,0.0
09:00 - 10:00,1.4,7.53,5.25,0.18,0.53,0.53,0.0
10:00 - 11:00,1.05,2.63,0.18,0.53,0.53,0.0,0.0
11:00 - 12:00,0.18,2.28,0.18,0.53,1.23,0.0,0.0
12:00 - 13:00,0.53,1.58,0.35,0.53,0.7,0.0,0.0
13:00 - 14:00,0.53,1.4,1.23,0.0,2.1,0.35,0.0
14:00 - 15:00,1.23,1.58,0.53,0.53,1.05,0.0,0.18
15:00 - 16:00,1.58,7.53,0.35,0.53,0.0,0.0,0.0
16:00 - 17:00,2.8,4.03,0.88,0.18,0.0,0.0,0.0
17:00 - 18:00,0.0,0.53,0.18,0.35,0.18,0.0,0.0
18:00 - 19:00,0.0,0.35,0.0,0.35,0.18,0.0,0.0
19:00 - 20:00,0.18,0.35,0.53,0.0,0.18,0.53,0.0
20:00 - 21:00,0.53,0.88,0.7,0.18,0.35,0.0,0.0
21:00 - 22:00,0.0,0.18,0.18,0.18,0.18,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.7,0.0,0.0,0.18,0.0,0.0
