 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.1,0.12,0.22,0.17,0.18,0.04,0.02
01:00 - 02:00,0.46,0.42,0.46,0.34,0.39,0.04,0.02
02:00 - 03:00,0.6,0.88,0.75,0.73,0.58,0.03,0.02
03:00 - 04:00,0.88,1.15,1.19,0.75,0.95,0.03,0.01
04:00 - 05:00,1.23,1.4,1.41,1.41,1.29,0.02,0.02
05:00 - 06:00,1.19,1.35,1.18,1.61,1.02,0.01,0.02
06:00 - 07:00,1.51,1.4,1.45,1.41,1.17,0.03,0.03
07:00 - 08:00,1.7,1.67,1.57,1.31,1.43,0.04,0.01
08:00 - 09:00,2.56,1.95,1.81,1.73,1.68,0.04,0.01
09:00 - 10:00,1.89,2.13,2.16,1.73,1.56,0.04,0.02
10:00 - 11:00,1.62,1.81,1.85,1.55,1.31,0.02,0.02
11:00 - 12:00,1.04,1.3,1.49,1.31,0.77,0.03,0.03
12:00 - 13:00,0.83,0.72,0.94,0.82,0.61,0.03,0.02
13:00 - 14:00,0.72,0.84,1.01,0.68,0.53,0.0,0.03
14:00 - 15:00,0.71,0.75,0.83,0.75,0.45,0.03,0.02
15:00 - 16:00,0.6,0.74,0.74,0.61,0.56,0.07,0.03
16:00 - 17:00,0.49,0.63,0.7,0.44,1.07,0.05,0.03
17:00 - 18:00,0.43,0.38,0.46,0.47,0.27,0.03,0.05
18:00 - 19:00,0.31,0.3,0.32,0.4,0.24,0.03,0.06
19:00 - 20:00,0.2,0.24,0.29,0.29,0.14,0.02,0.04
20:00 - 21:00,0.24,0.27,0.42,0.21,0.1,0.03,0.07
21:00 - 22:00,0.21,0.26,0.21,0.17,0.08,0.02,0.13
22:00 - 23:00,0.13,0.22,0.24,0.12,0.04,0.01,0.15
23:00 - 00:00,0.13,0.15,0.17,0.17,0.07,0.0,0.07
