 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,2,2,0,0,0,0
01:00 - 02:00,3,1,3,0,3,0,0
02:00 - 03:00,4,4,4,7,6,0,0
03:00 - 04:00,12,26,18,17,17,0,0
04:00 - 05:00,31,36,50,22,29,0,0
05:00 - 06:00,23,36,33,23,38,1,0
06:00 - 07:00,31,48,29,28,22,0,0
07:00 - 08:00,31,42,33,24,27,1,1
08:00 - 09:00,29,42,56,55,39,1,0
09:00 - 10:00,46,60,61,48,39,0,0
10:00 - 11:00,44,48,40,52,34,1,1
11:00 - 12:00,28,47,38,37,22,1,0
12:00 - 13:00,26,24,33,23,17,0,0
13:00 - 14:00,36,30,32,23,15,0,1
14:00 - 15:00,14,20,27,21,13,1,1
15:00 - 16:00,29,29,25,20,14,1,1
16:00 - 17:00,7,22,10,11,9,0,0
17:00 - 18:00,5,4,18,10,4,1,1
18:00 - 19:00,1,8,8,6,1,4,0
19:00 - 20:00,3,1,7,6,1,0,2
20:00 - 21:00,4,2,2,3,0,0,0
21:00 - 22:00,1,0,2,2,0,0,0
22:00 - 23:00,4,2,2,1,1,0,0
23:00 - 00:00,0,1,2,1,0,0,0
