 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,5,61,0,1,0,0
01:00 - 02:00,3,11,1,1,6,4,0
02:00 - 03:00,5,3,5,9,3,1,0
03:00 - 04:00,0,2,1,4,1,0,0
04:00 - 05:00,1,0,2,4,4,0,1
05:00 - 06:00,4,1,7,1,1,0,0
06:00 - 07:00,1,19,5,0,6,0,0
07:00 - 08:00,5,6,1,4,0,0,0
08:00 - 09:00,1,1,6,3,2,2,0
09:00 - 10:00,4,4,1,4,5,0,0
10:00 - 11:00,0,3,6,1,1,0,0
11:00 - 12:00,14,7,3,1,3,0,0
12:00 - 13:00,4,9,2,1,2,0,0
13:00 - 14:00,8,8,2,2,4,0,0
14:00 - 15:00,18,8,7,9,7,0,0
15:00 - 16:00,26,9,14,3,8,0,0
16:00 - 17:00,26,8,4,13,8,0,0
17:00 - 18:00,18,4,8,7,3,1,0
18:00 - 19:00,19,4,14,19,2,0,0
19:00 - 20:00,13,14,13,22,3,0,0
20:00 - 21:00,13,15,9,12,8,0,0
21:00 - 22:00,7,11,3,16,10,0,0
22:00 - 23:00,3,4,7,5,4,0,0
23:00 - 00:00,23,95,18,35,18,9,0
