 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,2,1,0,0,0,0
01:00 - 02:00,0,2,2,0,2,0,0
02:00 - 03:00,0,0,7,0,0,0,0
03:00 - 04:00,0,1,0,0,0,0,0
04:00 - 05:00,0,0,4,2,0,0,0
05:00 - 06:00,2,1,3,0,0,0,0
06:00 - 07:00,8,5,2,6,4,0,0
07:00 - 08:00,5,1,1,2,14,0,0
08:00 - 09:00,6,1,4,10,3,3,0
09:00 - 10:00,6,2,4,9,2,0,0
10:00 - 11:00,9,5,6,18,3,0,0
11:00 - 12:00,6,0,6,16,6,0,0
12:00 - 13:00,6,3,7,16,4,2,0
13:00 - 14:00,25,7,14,17,6,0,0
14:00 - 15:00,17,7,10,24,14,0,0
15:00 - 16:00,12,8,24,20,18,8,0
16:00 - 17:00,8,7,19,9,14,0,0
17:00 - 18:00,7,7,4,9,15,0,0
18:00 - 19:00,7,4,10,10,11,0,0
19:00 - 20:00,20,2,8,5,12,0,0
20:00 - 21:00,9,4,2,5,14,0,0
21:00 - 22:00,7,3,10,7,6,0,0
22:00 - 23:00,4,1,2,1,0,0,1
23:00 - 00:00,1,0,1,0,2,0,0
