 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,5,34,0,0,1,0
01:00 - 02:00,0,7,5,0,2,2,0
02:00 - 03:00,0,2,4,0,1,0,0
03:00 - 04:00,0,2,6,0,1,0,0
04:00 - 05:00,0,5,2,0,0,0,0
05:00 - 06:00,0,0,1,0,2,0,0
06:00 - 07:00,4,15,0,2,0,0,0
07:00 - 08:00,7,3,0,0,1,0,0
08:00 - 09:00,1,1,0,4,0,0,0
09:00 - 10:00,2,3,0,6,1,0,0
10:00 - 11:00,5,3,6,6,5,0,0
11:00 - 12:00,15,4,2,1,4,0,0
12:00 - 13:00,5,1,8,2,7,0,0
13:00 - 14:00,14,18,13,11,16,0,0
14:00 - 15:00,53,30,26,33,32,2,0
15:00 - 16:00,81,10,20,43,9,6,0
16:00 - 17:00,26,24,17,7,13,5,0
17:00 - 18:00,28,25,34,14,21,3,0
18:00 - 19:00,40,19,7,30,6,0,0
19:00 - 20:00,35,35,7,15,4,0,0
20:00 - 21:00,16,21,7,10,14,0,0
21:00 - 22:00,5,9,4,7,1,0,0
22:00 - 23:00,6,6,1,5,0,0,0
23:00 - 00:00,39,27,20,34,6,4,5
