 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,8,9,4,7,6,3,0
01:00 - 02:00,4,4,2,6,3,0,0
02:00 - 03:00,6,4,5,7,5,0,0
03:00 - 04:00,4,4,5,12,23,1,0
04:00 - 05:00,4,9,5,7,5,0,1
05:00 - 06:00,12,10,8,12,0,0,1
06:00 - 07:00,5,12,15,10,15,0,0
07:00 - 08:00,22,22,36,27,59,2,1
08:00 - 09:00,38,24,52,35,32,1,0
09:00 - 10:00,37,100,62,40,38,2,1
10:00 - 11:00,29,63,38,37,41,1,1
11:00 - 12:00,57,34,26,54,40,1,1
12:00 - 13:00,62,108,78,55,27,0,0
13:00 - 14:00,75,69,91,83,43,1,0
14:00 - 15:00,197,78,88,131,52,2,1
15:00 - 16:00,68,449,90,73,46,0,3
16:00 - 17:00,54,327,79,63,117,3,1
17:00 - 18:00,83,70,52,58,36,0,1
18:00 - 19:00,54,32,41,47,39,2,0
19:00 - 20:00,42,58,37,45,18,2,0
20:00 - 21:00,43,28,52,26,25,1,0
21:00 - 22:00,15,19,34,33,7,0,1
22:00 - 23:00,3,23,14,18,1,0,1
23:00 - 00:00,12,6,9,2,5,0,1
