 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.42,0.14,0.28,0.14,0.28,0.0,0.0
01:00 - 02:00,0.14,0.14,0.14,0.28,0.14,0.0,0.56
02:00 - 03:00,0.14,0.14,0.28,0.28,0.28,0.0,0.0
03:00 - 04:00,0.28,0.69,0.28,0.0,0.69,0.0,0.0
04:00 - 05:00,0.83,0.97,0.83,0.69,0.69,0.42,0.14
05:00 - 06:00,0.69,0.42,0.56,0.56,0.28,0.0,0.0
06:00 - 07:00,0.28,0.0,0.42,1.11,0.42,0.14,0.0
07:00 - 08:00,0.42,0.42,0.42,1.11,0.83,0.0,0.28
08:00 - 09:00,0.69,0.97,1.11,1.25,0.69,0.0,0.14
09:00 - 10:00,1.39,1.53,0.83,1.25,1.25,0.28,0.0
10:00 - 11:00,2.08,1.94,2.5,1.39,1.39,0.0,0.42
11:00 - 12:00,0.97,1.53,0.56,0.83,2.08,0.14,0.56
12:00 - 13:00,0.83,0.69,0.56,0.69,1.53,0.42,0.28
13:00 - 14:00,1.67,1.25,1.25,0.69,1.67,0.0,0.0
14:00 - 15:00,0.69,3.06,1.39,1.53,1.53,0.0,0.0
15:00 - 16:00,1.94,1.81,1.39,1.39,1.39,0.0,0.0
16:00 - 17:00,1.25,1.81,1.39,0.97,1.11,0.0,0.14
17:00 - 18:00,0.69,1.39,0.83,1.25,1.39,0.14,0.0
18:00 - 19:00,1.25,0.97,0.69,0.42,0.28,0.0,0.0
19:00 - 20:00,0.28,0.97,1.25,0.69,0.0,0.0,0.14
20:00 - 21:00,0.42,0.42,0.97,0.0,0.14,0.0,0.14
21:00 - 22:00,0.14,0.14,0.42,0.28,0.14,0.14,0.28
22:00 - 23:00,0.42,0.0,0.0,0.69,0.28,0.14,0.0
23:00 - 00:00,0.28,0.28,0.28,0.42,0.14,0.0,0.14
