 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,4,1,8,1,1,0
01:00 - 02:00,1,7,6,11,6,0,0
02:00 - 03:00,2,6,2,1,2,0,0
03:00 - 04:00,2,8,1,3,6,0,0
04:00 - 05:00,3,8,0,4,2,0,0
05:00 - 06:00,11,12,1,4,0,0,0
06:00 - 07:00,14,10,4,24,4,0,0
07:00 - 08:00,11,16,11,21,9,0,0
08:00 - 09:00,8,25,5,12,5,0,0
09:00 - 10:00,28,25,15,21,15,1,0
10:00 - 11:00,27,34,18,29,18,1,0
11:00 - 12:00,24,16,24,17,25,0,0
12:00 - 13:00,41,28,21,13,13,0,0
13:00 - 14:00,46,26,25,31,57,0,0
14:00 - 15:00,74,20,26,40,154,1,0
15:00 - 16:00,53,34,29,31,45,0,0
16:00 - 17:00,22,15,16,25,12,4,0
17:00 - 18:00,36,22,24,20,15,0,0
18:00 - 19:00,33,11,26,18,16,0,1
19:00 - 20:00,25,17,17,12,11,0,1
20:00 - 21:00,12,17,23,30,4,0,0
21:00 - 22:00,3,7,11,20,4,0,0
22:00 - 23:00,6,4,3,10,5,1,0
23:00 - 00:00,3,4,3,5,4,0,1
