 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.07,0.09,0.41,0.06,0.11,0.0,0.02
01:00 - 02:00,0.06,0.09,0.17,0.06,0.07,0.02,0.0
02:00 - 03:00,0.15,0.28,0.2,0.24,0.31,0.06,0.0
03:00 - 04:00,0.44,0.96,0.94,0.22,0.52,0.02,0.0
04:00 - 05:00,0.31,0.44,0.79,0.33,0.48,0.02,0.04
05:00 - 06:00,0.63,1.0,0.55,0.7,0.7,0.06,0.0
06:00 - 07:00,0.68,0.52,0.76,0.44,0.78,0.04,0.0
07:00 - 08:00,0.92,0.96,0.66,0.5,0.78,0.26,0.11
08:00 - 09:00,0.98,1.33,1.68,1.5,1.18,0.24,0.0
09:00 - 10:00,1.55,1.75,1.55,1.27,2.03,0.18,0.15
10:00 - 11:00,1.27,1.35,1.44,0.98,1.42,0.15,0.28
11:00 - 12:00,1.02,1.81,0.98,1.05,1.55,0.17,0.11
12:00 - 13:00,0.72,1.29,0.91,1.13,0.87,0.06,0.04
13:00 - 14:00,0.61,0.63,0.85,0.65,1.07,0.04,0.04
14:00 - 15:00,0.7,1.0,1.22,1.2,0.78,0.09,0.15
15:00 - 16:00,0.65,1.31,0.83,1.33,1.81,0.2,0.24
16:00 - 17:00,1.16,1.0,0.87,1.79,1.51,0.2,0.07
17:00 - 18:00,0.59,0.96,1.33,1.05,1.51,0.0,0.11
18:00 - 19:00,0.76,0.83,0.79,1.39,1.22,0.18,0.37
19:00 - 20:00,0.41,1.03,0.44,0.66,1.24,0.02,0.06
20:00 - 21:00,0.48,0.89,0.68,0.65,0.7,0.18,0.2
21:00 - 22:00,0.33,0.85,0.42,0.68,0.09,0.07,0.3
22:00 - 23:00,0.44,0.5,0.31,0.35,0.39,0.02,0.2
23:00 - 00:00,0.04,0.24,0.44,0.42,0.06,0.06,0.02
