 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,52,38,23,39,49,2,0
01:00 - 02:00,56,66,55,84,71,0,0
02:00 - 03:00,68,54,49,90,41,0,0
03:00 - 04:00,112,40,55,75,54,0,0
04:00 - 05:00,56,63,61,75,32,0,0
05:00 - 06:00,157,52,75,99,54,0,1
06:00 - 07:00,48,58,65,76,40,1,0
07:00 - 08:00,38,54,69,149,36,0,1
08:00 - 09:00,45,31,41,37,254,0,0
09:00 - 10:00,24,21,21,27,117,1,6
10:00 - 11:00,19,89,29,61,22,2,0
11:00 - 12:00,27,33,10,26,141,1,0
12:00 - 13:00,23,24,34,44,53,3,0
13:00 - 14:00,125,15,24,46,20,1,0
14:00 - 15:00,11,22,17,17,28,0,0
15:00 - 16:00,8,13,11,11,16,0,2
16:00 - 17:00,11,6,9,7,2,0,1
17:00 - 18:00,5,9,5,10,5,1,0
18:00 - 19:00,8,4,0,3,2,0,0
19:00 - 20:00,2,6,5,6,0,0,1
20:00 - 21:00,8,2,6,4,0,0,0
21:00 - 22:00,4,14,9,4,0,3,0
22:00 - 23:00,16,15,14,25,5,1,26
23:00 - 00:00,23,30,30,49,0,1,32
