 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,1,4,4,1,1
01:00 - 02:00,1,0,2,0,0,2,1
02:00 - 03:00,0,2,0,0,2,0,0
03:00 - 04:00,0,0,2,0,3,0,0
04:00 - 05:00,1,0,2,0,1,0,0
05:00 - 06:00,1,0,2,0,1,0,1
06:00 - 07:00,1,1,2,1,0,0,2
07:00 - 08:00,1,5,3,6,1,0,0
08:00 - 09:00,10,5,5,8,3,0,0
09:00 - 10:00,9,11,11,17,6,1,0
10:00 - 11:00,9,9,201,10,9,0,0
11:00 - 12:00,14,10,27,11,16,1,0
12:00 - 13:00,10,6,11,15,18,4,1
13:00 - 14:00,16,16,9,18,28,0,1
14:00 - 15:00,21,22,20,19,13,3,1
15:00 - 16:00,18,29,14,26,17,1,1
16:00 - 17:00,9,24,13,16,14,0,0
17:00 - 18:00,13,17,12,10,21,1,2
18:00 - 19:00,7,4,23,12,13,0,1
19:00 - 20:00,5,5,17,5,7,0,2
20:00 - 21:00,7,7,6,7,9,0,1
21:00 - 22:00,6,11,10,12,9,0,0
22:00 - 23:00,5,3,14,8,5,1,0
23:00 - 00:00,3,7,13,14,5,0,0
