 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.26,0.0,0.0,0.79,0.26,0.53,0.0
01:00 - 02:00,0.26,0.0,0.26,0.0,0.53,0.0,0.0
02:00 - 03:00,0.0,0.26,0.26,0.0,0.26,0.0,0.0
03:00 - 04:00,0.26,0.53,0.26,0.79,0.0,0.0,0.0
04:00 - 05:00,0.0,0.53,0.79,0.26,0.0,0.0,0.0
05:00 - 06:00,0.26,0.26,0.26,0.26,0.26,0.0,0.0
06:00 - 07:00,0.26,0.53,0.53,0.53,0.0,0.0,0.0
07:00 - 08:00,0.0,1.06,0.0,0.79,0.79,0.0,0.0
08:00 - 09:00,0.26,0.26,0.79,3.44,1.85,0.0,0.0
09:00 - 10:00,1.59,0.26,0.26,2.12,0.53,0.0,0.0
10:00 - 11:00,0.79,0.53,1.85,1.06,0.26,0.0,0.26
11:00 - 12:00,1.06,1.32,1.06,1.32,1.32,0.0,0.0
12:00 - 13:00,1.06,0.53,1.06,1.06,0.79,0.0,0.0
13:00 - 14:00,1.06,0.53,0.53,0.79,1.59,0.0,0.0
14:00 - 15:00,1.59,2.65,2.12,0.79,1.59,0.0,0.0
15:00 - 16:00,1.32,1.06,0.53,2.12,1.06,0.0,0.0
16:00 - 17:00,2.12,1.32,1.59,0.79,2.38,0.0,0.0
17:00 - 18:00,0.79,0.79,1.06,1.32,0.79,0.0,0.0
18:00 - 19:00,0.26,2.12,1.06,1.32,0.53,0.0,0.0
19:00 - 20:00,1.85,0.26,1.06,0.53,1.06,0.0,0.26
20:00 - 21:00,0.53,1.32,1.32,0.26,2.12,0.0,0.0
21:00 - 22:00,1.06,1.06,1.32,0.79,0.53,0.0,0.0
22:00 - 23:00,0.26,0.53,0.79,1.32,0.53,0.0,0.0
23:00 - 00:00,1.32,0.79,1.32,0.26,0.26,0.0,0.0
