 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.18,0.73,0.66,0.65,0.69,0.48,0.06
01:00 - 02:00,0.25,0.45,0.48,0.41,0.53,0.47,0.1
02:00 - 03:00,0.15,0.34,0.33,0.35,6.81,0.19,0.07
03:00 - 04:00,0.18,0.22,0.32,0.34,4.4,0.11,0.03
04:00 - 05:00,0.18,0.35,0.34,0.29,0.25,0.05,0.04
05:00 - 06:00,0.21,0.24,0.35,0.26,0.49,0.04,0.03
06:00 - 07:00,0.21,0.22,0.27,0.31,0.22,0.05,0.03
07:00 - 08:00,0.22,0.26,0.36,0.32,0.39,0.03,0.03
08:00 - 09:00,0.31,0.4,0.34,0.28,0.26,0.03,0.03
09:00 - 10:00,0.47,0.31,0.5,0.4,0.43,0.03,0.09
10:00 - 11:00,0.57,0.51,0.56,0.56,0.49,0.15,0.08
11:00 - 12:00,0.76,0.52,0.64,0.59,0.47,0.12,0.03
12:00 - 13:00,0.55,0.57,0.51,0.55,0.32,0.16,0.07
13:00 - 14:00,0.6,0.72,0.69,0.66,0.73,0.21,0.07
14:00 - 15:00,0.59,0.95,0.9,1.06,0.76,0.18,0.07
15:00 - 16:00,1.03,1.11,0.77,1.03,0.72,0.17,0.03
16:00 - 17:00,1.09,0.96,1.14,0.94,0.76,0.11,0.07
17:00 - 18:00,1.17,1.69,1.38,1.11,1.1,0.04,0.13
18:00 - 19:00,1.49,1.37,1.43,1.22,1.12,0.11,0.06
19:00 - 20:00,0.86,0.77,1.01,0.95,0.73,0.04,0.08
20:00 - 21:00,1.4,1.91,1.18,0.76,0.76,0.06,0.06
21:00 - 22:00,1.37,1.36,1.08,1.22,1.02,0.03,0.04
22:00 - 23:00,1.95,1.6,1.59,1.07,1.18,0.14,0.14
23:00 - 00:00,1.03,1.17,1.09,0.94,0.97,0.08,0.13
