 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,5,12,1,5,2,0
01:00 - 02:00,1,4,4,6,3,13,0
02:00 - 03:00,1,5,1,0,2,10,0
03:00 - 04:00,4,3,1,0,2,1,0
04:00 - 05:00,1,0,2,2,1,0,0
05:00 - 06:00,0,2,1,2,0,1,0
06:00 - 07:00,3,0,9,0,4,0,0
07:00 - 08:00,1,1,8,0,2,0,0
08:00 - 09:00,0,1,2,1,0,0,1
09:00 - 10:00,1,0,0,0,0,0,0
10:00 - 11:00,0,1,0,1,0,0,0
11:00 - 12:00,1,0,0,0,0,0,0
12:00 - 13:00,1,0,2,1,2,0,1
13:00 - 14:00,3,1,2,3,2,1,0
14:00 - 15:00,2,4,3,5,7,0,0
15:00 - 16:00,15,6,7,12,2,1,1
16:00 - 17:00,30,13,10,7,15,0,0
17:00 - 18:00,26,11,14,13,16,1,6
18:00 - 19:00,19,6,11,23,11,1,3
19:00 - 20:00,10,19,5,4,6,1,0
20:00 - 21:00,23,38,14,3,9,0,0
21:00 - 22:00,10,18,20,7,20,0,0
22:00 - 23:00,14,23,10,11,11,0,2
23:00 - 00:00,6,22,11,19,7,0,3
