 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,0,3,0,0,1,0
01:00 - 02:00,2,0,0,0,0,1,0
02:00 - 03:00,0,1,0,0,2,1,0
03:00 - 04:00,2,0,0,0,0,0,0
04:00 - 05:00,1,0,0,1,1,0,0
05:00 - 06:00,0,0,1,1,1,0,0
06:00 - 07:00,4,2,3,5,0,0,0
07:00 - 08:00,2,7,1,2,3,0,1
08:00 - 09:00,14,12,11,33,7,2,0
09:00 - 10:00,24,62,24,15,38,1,2
10:00 - 11:00,27,40,15,23,40,0,1
11:00 - 12:00,24,28,21,21,35,0,5
12:00 - 13:00,16,22,19,35,41,0,0
13:00 - 14:00,20,24,34,37,36,2,1
14:00 - 15:00,30,24,21,38,18,0,0
15:00 - 16:00,28,26,29,22,33,0,4
16:00 - 17:00,21,8,23,25,15,1,0
17:00 - 18:00,16,8,9,13,9,1,0
18:00 - 19:00,16,8,4,17,4,1,2
19:00 - 20:00,3,5,2,16,4,0,3
20:00 - 21:00,1,2,0,2,1,1,0
21:00 - 22:00,0,1,1,1,1,0,0
22:00 - 23:00,1,0,0,2,0,0,0
23:00 - 00:00,2,4,1,0,0,0,2
