 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.22,0.22,0.22,0.66,1.54,1.32,0.88
01:00 - 02:00,0.44,0.88,0.66,0.66,0.88,0.22,0.22
02:00 - 03:00,0.22,0.44,0.0,1.1,0.88,0.66,0.22
03:00 - 04:00,0.66,0.22,0.66,1.1,1.98,1.1,0.22
04:00 - 05:00,0.66,0.88,0.88,1.1,0.88,1.1,0.22
05:00 - 06:00,0.22,1.32,1.54,1.32,0.44,1.1,0.22
06:00 - 07:00,0.22,0.22,0.66,0.22,0.66,0.44,0.22
07:00 - 08:00,0.44,1.1,0.66,0.66,0.88,0.88,0.44
08:00 - 09:00,0.22,0.88,0.44,1.32,0.88,1.1,0.0
09:00 - 10:00,0.44,0.44,1.1,1.32,0.44,0.88,0.44
10:00 - 11:00,0.0,0.66,0.22,0.66,0.44,0.22,0.22
11:00 - 12:00,0.44,0.88,0.22,0.88,1.1,0.88,0.0
12:00 - 13:00,0.0,0.66,0.66,0.22,0.44,0.0,0.44
13:00 - 14:00,0.0,0.22,0.66,0.66,0.88,0.44,0.44
14:00 - 15:00,0.0,0.66,0.66,0.88,0.44,0.44,0.44
15:00 - 16:00,0.0,0.22,0.66,1.54,0.22,0.0,0.44
16:00 - 17:00,0.66,0.44,0.88,1.32,0.22,0.22,0.0
17:00 - 18:00,0.44,0.44,0.44,2.64,0.44,0.0,0.0
18:00 - 19:00,0.44,0.44,0.88,0.44,0.66,0.22,0.44
19:00 - 20:00,0.66,0.44,1.1,0.0,0.22,0.22,0.66
20:00 - 21:00,0.88,0.88,0.66,0.22,0.88,0.44,0.44
21:00 - 22:00,1.1,0.66,0.66,1.1,0.44,0.44,0.0
22:00 - 23:00,0.88,0.88,0.66,0.66,0.88,0.22,0.22
23:00 - 00:00,0.88,0.88,2.2,0.22,0.22,0.22,0.0
