 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.28,0.28,0.57,0.0,0.28,0.0,0.28
01:00 - 02:00,0.0,0.0,1.14,0.85,0.28,0.0,0.28
02:00 - 03:00,0.28,0.28,0.28,0.0,0.0,0.0,0.57
03:00 - 04:00,0.0,0.28,0.85,0.28,0.28,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.85,1.14,1.14,0.0
05:00 - 06:00,0.57,0.0,0.85,0.0,0.28,2.85,0.0
06:00 - 07:00,0.28,0.0,5.13,0.28,0.57,0.85,0.0
07:00 - 08:00,0.28,0.28,1.14,0.0,0.28,0.0,0.0
08:00 - 09:00,0.0,0.85,0.85,0.0,0.28,0.28,0.57
09:00 - 10:00,0.0,0.85,1.71,0.28,0.0,0.28,0.28
10:00 - 11:00,0.28,0.0,0.85,0.0,0.0,0.0,0.85
11:00 - 12:00,1.71,0.0,0.0,0.57,0.28,0.28,0.0
12:00 - 13:00,0.28,0.28,0.0,0.57,0.28,0.28,0.0
13:00 - 14:00,0.0,0.28,0.85,0.28,0.28,0.28,0.28
14:00 - 15:00,0.0,0.28,0.28,0.0,0.0,0.28,0.57
15:00 - 16:00,0.0,0.28,0.0,0.0,0.0,0.28,0.0
16:00 - 17:00,0.28,37.32,0.0,0.0,0.85,0.28,4.84
17:00 - 18:00,0.0,0.0,0.28,0.0,0.0,0.85,0.57
18:00 - 19:00,0.0,0.0,0.28,0.28,0.0,0.0,0.28
19:00 - 20:00,0.0,0.57,0.28,0.57,0.85,0.28,0.57
20:00 - 21:00,0.28,0.28,0.0,0.57,0.28,0.0,0.28
21:00 - 22:00,0.0,0.0,0.0,0.85,0.28,0.0,0.85
22:00 - 23:00,0.28,0.28,0.0,0.85,0.28,0.0,0.28
23:00 - 00:00,0.57,0.57,0.28,0.57,0.57,0.57,0.57
