 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,3,2,0,2,3,2
01:00 - 02:00,0,1,3,1,4,2,0
02:00 - 03:00,3,4,11,13,3,1,8
03:00 - 04:00,0,1,5,1,16,8,1
04:00 - 05:00,1,4,4,2,4,5,0
05:00 - 06:00,0,3,1,3,0,0,0
06:00 - 07:00,0,0,5,1,1,1,1
07:00 - 08:00,4,3,1,4,1,0,0
08:00 - 09:00,1,4,4,2,0,0,0
09:00 - 10:00,2,1,5,0,5,4,5
10:00 - 11:00,0,5,4,2,0,1,0
11:00 - 12:00,0,1,4,1,1,3,0
12:00 - 13:00,0,0,1,0,0,0,0
13:00 - 14:00,1,1,0,0,1,0,0
14:00 - 15:00,0,1,0,0,2,0,0
15:00 - 16:00,0,0,1,0,0,0,0
16:00 - 17:00,0,0,0,0,0,0,0
17:00 - 18:00,0,0,0,0,0,0,0
18:00 - 19:00,0,0,0,1,0,0,0
19:00 - 20:00,1,1,0,1,1,0,0
20:00 - 21:00,4,2,0,9,8,1,0
21:00 - 22:00,6,2,1,2,2,1,3
22:00 - 23:00,7,1,5,2,3,1,3
23:00 - 00:00,3,2,2,1,1,0,1
