 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,6,27,24,28,26,29,5
01:00 - 02:00,11,30,35,47,35,28,6
02:00 - 03:00,14,35,32,55,53,35,7
03:00 - 04:00,7,32,39,46,40,38,8
04:00 - 05:00,4,24,36,32,47,37,3
05:00 - 06:00,2,33,48,40,54,55,4
06:00 - 07:00,5,34,41,58,51,30,6
07:00 - 08:00,1,43,39,55,68,42,1
08:00 - 09:00,4,38,48,55,57,24,13
09:00 - 10:00,7,20,28,29,33,20,1
10:00 - 11:00,15,21,15,19,24,10,6
11:00 - 12:00,7,16,9,5,18,10,2
12:00 - 13:00,22,18,18,28,17,6,7
13:00 - 14:00,31,46,45,43,34,7,5
14:00 - 15:00,46,59,39,50,56,9,9
15:00 - 16:00,27,36,39,32,35,8,5
16:00 - 17:00,39,39,38,41,37,3,5
17:00 - 18:00,60,62,65,54,77,5,4
18:00 - 19:00,72,57,45,61,69,6,7
19:00 - 20:00,60,61,71,73,67,7,3
20:00 - 21:00,42,56,56,66,49,7,3
21:00 - 22:00,39,32,34,49,50,6,0
22:00 - 23:00,28,30,34,28,39,6,5
23:00 - 00:00,19,22,34,31,39,2,4
