 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,7,57,59,60,63,65,10
01:00 - 02:00,11,58,50,57,58,43,6
02:00 - 03:00,12,42,49,45,34,43,9
03:00 - 04:00,9,30,33,32,30,39,8
04:00 - 05:00,9,28,46,34,38,24,6
05:00 - 06:00,10,51,28,43,40,29,12
06:00 - 07:00,14,23,31,24,23,19,12
07:00 - 08:00,8,18,21,14,19,11,7
08:00 - 09:00,16,17,12,17,18,6,5
09:00 - 10:00,13,13,14,24,17,8,8
10:00 - 11:00,25,27,28,28,28,6,7
11:00 - 12:00,30,23,23,24,26,10,5
12:00 - 13:00,11,17,16,8,8,8,5
13:00 - 14:00,23,15,24,15,18,3,6
14:00 - 15:00,30,33,30,40,21,6,5
15:00 - 16:00,25,28,34,27,39,5,4
16:00 - 17:00,44,57,62,53,35,8,3
17:00 - 18:00,48,53,67,46,54,8,8
18:00 - 19:00,41,54,55,54,59,9,3
19:00 - 20:00,54,51,37,40,42,7,10
20:00 - 21:00,34,49,39,42,38,6,6
21:00 - 22:00,56,68,58,64,73,9,11
22:00 - 23:00,62,71,69,73,88,7,5
23:00 - 00:00,80,63,82,82,63,7,9
