 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,3,34,46,42,51,39,15
01:00 - 02:00,3,51,64,75,88,70,7
02:00 - 03:00,7,89,120,124,142,94,17
03:00 - 04:00,12,83,98,92,87,70,22
04:00 - 05:00,10,79,90,101,109,84,11
05:00 - 06:00,12,108,118,107,106,123,9
06:00 - 07:00,7,102,100,158,104,121,6
07:00 - 08:00,5,88,82,80,88,84,9
08:00 - 09:00,10,78,65,49,70,84,4
09:00 - 10:00,13,55,53,55,57,41,7
10:00 - 11:00,6,34,32,35,39,23,8
11:00 - 12:00,18,29,22,32,34,19,11
12:00 - 13:00,22,44,41,51,38,14,8
13:00 - 14:00,46,36,47,37,51,14,8
14:00 - 15:00,16,53,55,57,45,12,8
15:00 - 16:00,18,27,35,50,26,9,3
16:00 - 17:00,22,31,28,22,39,8,8
17:00 - 18:00,15,20,13,31,26,2,2
18:00 - 19:00,15,19,14,27,24,1,7
19:00 - 20:00,22,18,18,22,21,2,5
20:00 - 21:00,12,18,27,22,17,6,3
21:00 - 22:00,15,21,19,12,17,3,3
22:00 - 23:00,14,20,15,33,16,6,1
23:00 - 00:00,17,27,24,15,29,6,6
