 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,2,1,2,2,1,0
01:00 - 02:00,1,2,3,7,2,1,0
02:00 - 03:00,0,0,7,1,1,5,1
03:00 - 04:00,1,4,6,2,0,5,1
04:00 - 05:00,2,4,3,1,2,0,1
05:00 - 06:00,2,4,4,0,3,1,0
06:00 - 07:00,3,1,5,0,2,1,1
07:00 - 08:00,0,5,4,4,1,1,4
08:00 - 09:00,0,1,3,2,4,3,3
09:00 - 10:00,3,4,3,4,0,2,1
10:00 - 11:00,1,2,4,0,1,2,2
11:00 - 12:00,0,5,6,5,1,3,0
12:00 - 13:00,2,0,1,1,2,0,0
13:00 - 14:00,0,0,0,1,1,1,0
14:00 - 15:00,0,1,1,5,5,0,0
15:00 - 16:00,0,1,3,7,7,3,2
16:00 - 17:00,2,2,8,3,2,4,1
17:00 - 18:00,2,3,2,3,3,2,4
18:00 - 19:00,1,2,2,5,6,3,3
19:00 - 20:00,0,7,1,10,6,0,1
20:00 - 21:00,3,0,1,4,2,0,0
21:00 - 22:00,3,2,2,7,0,1,2
22:00 - 23:00,5,3,5,2,3,1,1
23:00 - 00:00,4,0,6,2,3,0,0
