 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,9,10,15,13,10,2
01:00 - 02:00,3,8,17,10,16,13,2
02:00 - 03:00,4,15,16,13,5,10,0
03:00 - 04:00,3,10,23,22,10,12,1
04:00 - 05:00,4,7,18,11,12,6,4
05:00 - 06:00,2,11,18,10,15,15,3
06:00 - 07:00,3,12,11,6,8,4,4
07:00 - 08:00,0,18,12,8,14,14,3
08:00 - 09:00,4,8,7,8,8,9,3
09:00 - 10:00,3,11,6,5,11,11,0
10:00 - 11:00,3,8,11,9,7,3,0
11:00 - 12:00,2,3,7,9,5,3,1
12:00 - 13:00,0,4,11,5,5,6,2
13:00 - 14:00,2,4,9,2,8,5,5
14:00 - 15:00,2,2,7,5,4,3,5
15:00 - 16:00,5,9,15,5,6,1,1
16:00 - 17:00,4,7,6,7,8,3,1
17:00 - 18:00,4,5,9,9,7,4,1
18:00 - 19:00,3,12,5,8,10,3,3
19:00 - 20:00,7,9,5,14,10,0,2
20:00 - 21:00,5,13,15,10,9,1,2
21:00 - 22:00,7,16,17,7,8,1,2
22:00 - 23:00,7,19,15,7,12,2,1
23:00 - 00:00,6,6,9,16,18,3,0
