 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.54,0.74,0.62,1.2,1.2,1.2,0.43
01:00 - 02:00,0.46,0.89,0.62,1.16,0.62,0.81,0.35
02:00 - 03:00,0.46,0.27,1.08,0.54,0.39,0.23,0.58
03:00 - 04:00,0.31,0.66,0.62,0.85,0.81,0.46,0.27
04:00 - 05:00,0.43,0.54,0.54,0.54,0.43,0.58,0.27
05:00 - 06:00,0.5,0.43,0.43,0.46,0.62,0.39,0.27
06:00 - 07:00,0.46,0.23,0.27,0.81,0.19,0.35,0.27
07:00 - 08:00,0.12,0.23,0.23,0.15,0.62,0.27,0.23
08:00 - 09:00,0.04,0.23,0.12,0.12,0.04,0.15,0.12
09:00 - 10:00,0.04,0.08,0.12,0.27,0.04,0.08,0.23
10:00 - 11:00,0.27,0.15,0.15,0.31,0.15,0.08,0.08
11:00 - 12:00,0.31,0.5,0.15,0.19,0.08,0.12,0.12
12:00 - 13:00,0.23,0.15,0.35,0.31,0.08,0.19,0.23
13:00 - 14:00,0.19,0.27,0.89,0.31,0.39,0.5,0.08
14:00 - 15:00,0.74,0.5,0.74,0.77,0.62,0.35,0.0
15:00 - 16:00,1.08,1.2,1.24,1.43,1.36,0.31,0.43
16:00 - 17:00,1.39,1.01,1.24,1.47,1.2,0.15,0.15
17:00 - 18:00,1.08,0.89,1.2,1.24,0.85,0.23,0.04
18:00 - 19:00,1.12,1.05,0.81,1.05,0.7,0.39,0.12
19:00 - 20:00,0.77,1.01,0.93,1.2,0.58,0.35,0.04
20:00 - 21:00,1.12,1.63,1.32,1.16,1.78,0.23,0.19
21:00 - 22:00,1.32,1.24,1.51,1.39,1.59,0.15,0.19
22:00 - 23:00,1.55,1.55,1.36,1.39,1.47,0.35,0.31
23:00 - 00:00,1.28,1.47,1.05,1.08,0.97,0.35,0.19
