 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,1,3,1,0,3,2
01:00 - 02:00,1,2,0,2,0,0,1
02:00 - 03:00,4,3,1,1,0,0,0
03:00 - 04:00,5,2,4,1,3,0,2
04:00 - 05:00,4,9,2,4,2,0,2
05:00 - 06:00,1,0,5,0,3,3,7
06:00 - 07:00,0,0,1,1,1,1,4
07:00 - 08:00,1,1,1,0,1,1,0
08:00 - 09:00,0,1,2,0,0,0,0
09:00 - 10:00,0,0,0,0,0,0,0
10:00 - 11:00,2,0,1,0,0,0,0
11:00 - 12:00,0,0,0,0,0,0,0
12:00 - 13:00,0,0,1,0,0,0,0
13:00 - 14:00,1,0,0,1,0,0,0
14:00 - 15:00,1,0,0,0,1,1,0
15:00 - 16:00,0,1,0,0,1,1,1
16:00 - 17:00,1,4,0,0,3,1,0
17:00 - 18:00,5,2,0,2,3,0,4
18:00 - 19:00,6,1,3,0,0,3,2
19:00 - 20:00,1,0,1,0,2,1,1
20:00 - 21:00,4,2,3,1,0,1,3
21:00 - 22:00,2,2,3,3,1,1,4
22:00 - 23:00,3,3,3,2,3,1,0
23:00 - 00:00,0,2,3,2,2,3,3
