 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,11,9,15,14,16,4
01:00 - 02:00,3,4,6,10,9,6,5
02:00 - 03:00,0,10,8,7,4,4,2
03:00 - 04:00,1,6,4,6,14,8,3
04:00 - 05:00,21,12,6,8,5,9,2
05:00 - 06:00,2,5,7,6,5,4,1
06:00 - 07:00,3,5,4,1,9,6,0
07:00 - 08:00,2,3,2,3,7,13,1
08:00 - 09:00,3,1,1,4,5,6,0
09:00 - 10:00,4,4,6,5,3,4,1
10:00 - 11:00,4,17,7,9,6,5,0
11:00 - 12:00,11,10,7,8,7,0,3
12:00 - 13:00,7,11,9,8,3,1,0
13:00 - 14:00,1,8,6,4,5,4,2
14:00 - 15:00,8,22,18,10,18,3,0
15:00 - 16:00,16,18,23,15,14,3,4
16:00 - 17:00,19,17,31,20,32,1,5
17:00 - 18:00,22,17,19,12,29,7,6
18:00 - 19:00,19,13,12,11,7,1,1
19:00 - 20:00,30,15,18,13,16,7,3
20:00 - 21:00,23,12,19,27,13,4,3
21:00 - 22:00,17,20,13,23,17,3,3
22:00 - 23:00,15,27,20,19,21,8,1
23:00 - 00:00,32,5,14,18,10,3,0
