 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,3,10,3,5,3,5,2
01:00 - 02:00,3,9,9,4,2,0,12
02:00 - 03:00,1,6,6,6,3,1,7
03:00 - 04:00,0,3,8,2,5,1,2
04:00 - 05:00,1,7,4,8,4,14,1
05:00 - 06:00,4,3,5,4,2,1,2
06:00 - 07:00,1,4,3,1,1,1,5
07:00 - 08:00,2,3,2,1,2,4,0
08:00 - 09:00,1,2,0,0,0,0,1
09:00 - 10:00,0,3,6,1,3,2,3
10:00 - 11:00,0,3,2,1,1,0,2
11:00 - 12:00,4,3,3,2,4,1,2
12:00 - 13:00,10,13,6,6,14,1,1
13:00 - 14:00,15,23,15,14,8,4,3
14:00 - 15:00,7,19,20,19,9,1,2
15:00 - 16:00,7,5,13,5,16,2,1
16:00 - 17:00,15,10,11,16,12,1,3
17:00 - 18:00,18,18,16,11,13,1,1
18:00 - 19:00,14,11,11,8,9,4,2
19:00 - 20:00,12,17,18,18,9,2,3
20:00 - 21:00,5,12,8,13,5,2,5
21:00 - 22:00,9,8,9,8,10,2,3
22:00 - 23:00,4,7,5,3,6,0,1
23:00 - 00:00,7,12,6,5,3,4,6
