 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,1,2,9,8,4,2
01:00 - 02:00,3,3,6,5,6,1,4
02:00 - 03:00,6,3,5,5,12,10,1
03:00 - 04:00,6,7,5,3,6,3,3
04:00 - 05:00,2,1,6,4,3,2,9
05:00 - 06:00,2,6,4,3,3,7,0
06:00 - 07:00,1,4,2,1,2,4,3
07:00 - 08:00,5,2,1,0,10,1,4
08:00 - 09:00,0,0,1,3,3,1,3
09:00 - 10:00,2,2,10,3,0,0,2
10:00 - 11:00,7,0,10,1,3,2,1
11:00 - 12:00,4,4,4,2,1,3,0
12:00 - 13:00,6,8,11,8,17,0,3
13:00 - 14:00,13,8,8,16,12,1,5
14:00 - 15:00,14,13,12,12,10,5,3
15:00 - 16:00,7,4,6,6,8,3,0
16:00 - 17:00,26,14,9,11,5,0,2
17:00 - 18:00,25,14,10,9,5,4,0
18:00 - 19:00,11,7,18,5,5,3,0
19:00 - 20:00,19,12,13,4,3,3,5
20:00 - 21:00,9,5,9,8,6,3,7
21:00 - 22:00,17,2,6,3,4,1,3
22:00 - 23:00,3,0,2,0,0,0,3
23:00 - 00:00,7,0,3,3,1,1,2
