 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,7,18,23,24,27,14,4
01:00 - 02:00,5,29,23,25,20,23,8
02:00 - 03:00,5,27,22,28,28,20,10
03:00 - 04:00,15,21,26,24,28,19,11
04:00 - 05:00,9,30,38,29,26,31,12
05:00 - 06:00,6,31,25,33,34,22,10
06:00 - 07:00,4,23,25,33,26,19,7
07:00 - 08:00,6,22,25,24,25,21,4
08:00 - 09:00,9,24,16,36,26,16,5
09:00 - 10:00,7,19,13,13,13,15,8
10:00 - 11:00,3,12,15,14,7,6,5
11:00 - 12:00,2,15,6,11,6,8,2
12:00 - 13:00,5,7,4,5,5,1,8
13:00 - 14:00,5,10,9,13,5,3,2
14:00 - 15:00,6,7,7,9,9,8,1
15:00 - 16:00,5,5,10,12,14,8,3
16:00 - 17:00,6,9,5,7,12,4,3
17:00 - 18:00,10,7,5,10,14,8,5
18:00 - 19:00,11,8,11,15,10,1,3
19:00 - 20:00,10,9,14,7,5,6,6
20:00 - 21:00,7,5,11,10,13,8,3
21:00 - 22:00,5,17,11,18,10,4,1
22:00 - 23:00,7,14,19,24,11,1,3
23:00 - 00:00,19,26,14,18,20,7,10
