 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,3,12,4,12,6,0
01:00 - 02:00,2,3,3,3,7,6,0
02:00 - 03:00,0,2,3,2,3,4,1
03:00 - 04:00,0,4,4,12,4,5,2
04:00 - 05:00,3,4,4,2,2,7,6
05:00 - 06:00,1,0,3,8,3,2,0
06:00 - 07:00,0,2,0,6,1,3,0
07:00 - 08:00,1,4,2,1,3,2,1
08:00 - 09:00,1,0,3,3,0,1,0
09:00 - 10:00,0,0,3,2,1,0,0
10:00 - 11:00,3,0,0,2,1,1,0
11:00 - 12:00,2,4,0,0,1,1,0
12:00 - 13:00,1,0,2,2,2,0,1
13:00 - 14:00,0,3,2,1,1,1,3
14:00 - 15:00,5,3,0,3,4,1,1
15:00 - 16:00,3,1,3,3,1,2,4
16:00 - 17:00,3,3,6,3,0,1,0
17:00 - 18:00,1,2,4,4,2,3,0
18:00 - 19:00,5,2,2,4,2,0,3
19:00 - 20:00,1,2,6,2,4,1,2
20:00 - 21:00,2,4,1,4,2,0,1
21:00 - 22:00,1,1,7,4,2,0,3
22:00 - 23:00,7,2,4,5,4,0,0
23:00 - 00:00,5,3,8,5,1,0,2
