 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,9,12,16,12,26,19,4
01:00 - 02:00,3,12,10,11,13,11,3
02:00 - 03:00,6,3,7,20,13,8,4
03:00 - 04:00,5,7,8,16,11,3,7
04:00 - 05:00,4,11,17,11,7,9,3
05:00 - 06:00,1,5,1,4,6,6,0
06:00 - 07:00,1,3,5,2,3,2,0
07:00 - 08:00,1,3,10,1,2,2,2
08:00 - 09:00,0,2,1,4,1,0,0
09:00 - 10:00,2,0,3,1,2,0,0
10:00 - 11:00,2,0,0,1,0,0,1
11:00 - 12:00,6,3,1,3,3,1,2
12:00 - 13:00,4,4,2,3,4,2,1
13:00 - 14:00,1,5,2,2,5,4,1
14:00 - 15:00,7,3,7,11,10,0,0
15:00 - 16:00,17,16,14,25,17,5,3
16:00 - 17:00,35,27,21,20,35,4,4
17:00 - 18:00,43,28,39,33,30,6,5
18:00 - 19:00,30,21,24,21,32,7,4
19:00 - 20:00,14,28,22,31,31,3,3
20:00 - 21:00,27,31,28,34,27,1,4
21:00 - 22:00,36,33,24,17,27,3,8
22:00 - 23:00,29,33,31,33,30,7,14
23:00 - 00:00,29,24,29,28,29,3,14
