 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,4,11,12,9,10,1
01:00 - 02:00,2,7,7,10,6,6,3
02:00 - 03:00,5,5,5,5,1,6,1
03:00 - 04:00,0,6,5,3,5,4,1
04:00 - 05:00,1,6,4,5,4,4,0
05:00 - 06:00,0,5,3,3,7,9,1
06:00 - 07:00,2,6,7,7,4,6,1
07:00 - 08:00,2,5,4,6,7,4,1
08:00 - 09:00,3,2,3,1,1,2,0
09:00 - 10:00,3,1,2,2,5,1,2
10:00 - 11:00,3,3,2,1,5,0,1
11:00 - 12:00,1,0,1,3,2,1,1
12:00 - 13:00,1,2,3,2,2,1,1
13:00 - 14:00,0,2,1,4,1,0,0
14:00 - 15:00,2,2,5,3,2,1,0
15:00 - 16:00,2,4,5,5,3,0,0
16:00 - 17:00,5,3,5,8,8,0,1
17:00 - 18:00,7,11,9,10,8,0,1
18:00 - 19:00,3,10,5,3,7,0,0
19:00 - 20:00,5,2,14,7,8,2,1
20:00 - 21:00,4,10,10,4,8,0,0
21:00 - 22:00,6,10,18,9,8,3,2
22:00 - 23:00,4,16,8,10,7,1,1
23:00 - 00:00,14,10,12,10,14,0,3
