 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.34,1.37,1.55,1.31,1.58,1.29,0.05
01:00 - 02:00,0.58,0.74,0.92,0.92,0.97,0.47,0.21
02:00 - 03:00,0.13,0.26,0.55,0.68,0.39,0.21,0.11
03:00 - 04:00,0.29,0.29,0.5,0.89,1.16,0.5,0.24
04:00 - 05:00,0.42,1.18,1.31,0.66,0.68,0.71,0.11
05:00 - 06:00,0.32,1.24,0.76,1.05,0.84,0.71,0.39
06:00 - 07:00,0.29,0.5,0.34,0.45,0.24,0.45,0.11
07:00 - 08:00,0.13,0.32,0.13,0.16,0.21,0.11,0.05
08:00 - 09:00,0.03,0.08,0.05,0.11,0.08,0.05,0.0
09:00 - 10:00,0.0,0.03,0.0,0.0,0.03,0.03,0.11
10:00 - 11:00,0.0,0.0,0.0,0.0,0.0,0.03,0.08
11:00 - 12:00,0.0,0.0,0.03,0.03,0.0,0.08,0.03
12:00 - 13:00,0.05,0.08,0.0,0.0,0.0,0.0,0.03
13:00 - 14:00,0.0,0.08,0.08,0.08,0.13,0.03,0.03
14:00 - 15:00,0.32,0.37,0.29,0.37,0.5,0.03,0.0
15:00 - 16:00,0.47,0.66,1.05,1.05,0.87,0.13,0.05
16:00 - 17:00,1.24,1.39,0.97,1.58,1.29,0.11,0.16
17:00 - 18:00,1.39,1.31,1.39,1.18,1.37,0.24,0.21
18:00 - 19:00,1.03,1.26,1.55,1.08,2.0,0.18,0.11
19:00 - 20:00,0.79,0.79,0.95,1.1,1.05,0.16,0.13
20:00 - 21:00,1.29,1.92,1.34,1.26,1.92,0.11,0.21
21:00 - 22:00,1.5,1.37,1.84,2.02,1.87,0.34,0.21
22:00 - 23:00,1.71,1.21,1.68,1.87,1.66,0.16,0.08
23:00 - 00:00,1.66,1.21,1.6,1.87,1.53,0.29,0.34
