 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,7,6,10,10,14,16,7
01:00 - 02:00,4,5,8,8,6,10,7
02:00 - 03:00,4,7,11,7,11,11,1
03:00 - 04:00,6,10,8,6,3,8,0
04:00 - 05:00,3,4,9,8,8,6,8
05:00 - 06:00,3,4,6,10,13,9,3
06:00 - 07:00,3,10,10,4,9,5,3
07:00 - 08:00,2,8,7,1,6,6,3
08:00 - 09:00,2,7,3,6,6,4,1
09:00 - 10:00,6,4,5,5,5,1,3
10:00 - 11:00,1,2,3,3,5,3,1
11:00 - 12:00,0,0,6,4,5,3,2
12:00 - 13:00,3,3,2,4,4,3,3
13:00 - 14:00,4,3,1,1,1,3,0
14:00 - 15:00,4,4,5,1,7,1,1
15:00 - 16:00,7,7,7,7,5,2,2
16:00 - 17:00,7,7,7,8,12,1,1
17:00 - 18:00,9,5,14,13,11,6,3
18:00 - 19:00,10,11,12,12,9,1,3
19:00 - 20:00,10,11,4,9,7,1,3
20:00 - 21:00,8,13,8,10,14,5,6
21:00 - 22:00,14,6,10,13,7,2,2
22:00 - 23:00,11,8,12,8,10,3,3
23:00 - 00:00,16,14,14,16,8,3,2
