 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.2,0.39,0.79,0.79,1.38,0.79,0.2
01:00 - 02:00,0.59,0.39,2.36,3.74,0.79,0.98,0.39
02:00 - 03:00,0.2,0.59,1.18,1.38,0.59,1.57,0.59
03:00 - 04:00,0.2,1.38,0.98,0.59,0.98,0.98,0.79
04:00 - 05:00,0.2,1.18,0.59,1.38,0.59,1.77,0.2
05:00 - 06:00,0.2,0.39,0.79,0.2,0.2,0.59,0.59
06:00 - 07:00,0.2,0.39,0.59,0.2,0.39,0.79,0.39
07:00 - 08:00,0.0,0.39,1.18,0.2,1.38,0.0,0.0
08:00 - 09:00,0.2,3.54,1.57,0.0,1.38,1.38,0.0
09:00 - 10:00,0.98,1.18,0.98,1.77,0.98,1.38,0.0
10:00 - 11:00,0.2,1.18,0.59,0.39,0.39,0.0,0.0
11:00 - 12:00,0.0,0.0,0.0,0.0,0.0,0.2,0.0
12:00 - 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00 - 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:00 - 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:00 - 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:00 - 17:00,0.0,0.0,0.2,0.0,0.0,0.0,0.0
17:00 - 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.39,0.0,0.39,0.0,0.0,0.0
19:00 - 20:00,0.59,0.2,1.18,0.2,0.2,0.98,0.2
20:00 - 21:00,1.57,1.57,2.56,1.57,1.77,0.39,0.59
21:00 - 22:00,2.17,2.56,0.98,0.79,0.79,1.57,0.39
22:00 - 23:00,0.39,2.56,0.98,1.97,0.39,1.38,1.57
23:00 - 00:00,0.39,0.98,0.79,2.56,0.98,1.18,0.98
