 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.12,0.99,0.76,1.05,1.34,0.47,0.23
01:00 - 02:00,0.12,0.93,0.7,0.76,0.82,0.23,0.12
02:00 - 03:00,0.0,0.64,0.7,0.64,0.82,0.58,0.0
03:00 - 04:00,0.0,0.23,0.58,0.76,0.64,0.35,0.0
04:00 - 05:00,0.06,0.41,0.82,0.76,0.58,0.7,0.0
05:00 - 06:00,0.0,0.23,0.47,0.18,0.18,0.88,0.18
06:00 - 07:00,0.12,0.18,0.35,0.06,0.41,0.18,0.06
07:00 - 08:00,0.12,0.41,0.58,0.23,0.23,0.12,0.06
08:00 - 09:00,0.06,0.35,0.58,0.58,0.35,0.12,0.18
09:00 - 10:00,0.12,0.53,0.29,0.76,0.82,0.18,0.0
10:00 - 11:00,0.7,1.23,0.18,0.58,0.35,0.23,0.06
11:00 - 12:00,0.23,0.58,0.53,0.35,1.17,0.23,0.06
12:00 - 13:00,0.47,0.41,0.35,0.23,0.41,0.0,0.23
13:00 - 14:00,0.41,0.41,0.29,0.41,0.29,0.06,0.0
14:00 - 15:00,0.53,1.11,0.58,1.11,0.88,0.23,0.0
15:00 - 16:00,0.47,0.7,1.28,0.99,0.53,0.29,0.0
16:00 - 17:00,1.05,1.23,1.05,1.23,0.7,0.12,0.12
17:00 - 18:00,1.28,1.46,1.75,1.28,0.76,0.23,0.06
18:00 - 19:00,1.46,0.99,1.87,0.93,1.05,0.06,0.12
19:00 - 20:00,0.93,1.46,0.93,1.23,1.05,0.06,0.06
20:00 - 21:00,1.11,1.28,1.17,1.69,0.82,0.06,0.18
21:00 - 22:00,0.88,2.04,1.81,1.93,1.63,0.06,0.06
22:00 - 23:00,0.7,1.63,1.23,1.52,0.82,0.58,0.12
23:00 - 00:00,1.34,0.7,1.52,1.93,1.4,0.06,0.06
