 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,1.75,2.05,2.05,1.88,2.23,0.04
01:00 - 02:00,0.0,0.83,1.57,1.31,1.22,1.7,0.04
02:00 - 03:00,0.04,0.61,1.14,0.96,0.92,0.44,0.04
03:00 - 04:00,0.04,0.79,0.96,1.22,1.27,0.83,0.09
04:00 - 05:00,0.04,0.52,0.79,0.26,0.52,0.44,0.0
05:00 - 06:00,0.22,0.35,0.74,0.48,0.7,0.48,0.04
06:00 - 07:00,0.04,0.48,0.61,0.39,0.66,0.57,0.0
07:00 - 08:00,0.13,0.57,0.52,0.22,0.35,0.39,0.04
08:00 - 09:00,0.04,0.35,0.44,0.39,0.26,0.35,0.04
09:00 - 10:00,0.13,0.26,0.35,0.26,0.09,0.26,0.0
10:00 - 11:00,0.35,0.17,0.17,0.26,0.39,0.13,0.0
11:00 - 12:00,0.13,0.17,0.31,0.31,0.39,0.0,0.0
12:00 - 13:00,0.09,0.17,0.17,0.13,0.04,0.04,0.0
13:00 - 14:00,0.17,0.35,0.39,0.13,0.13,0.0,0.0
14:00 - 15:00,0.17,0.22,0.04,0.44,0.22,0.04,0.04
15:00 - 16:00,0.26,0.52,0.48,0.52,0.22,0.04,0.0
16:00 - 17:00,0.66,0.96,0.7,0.87,0.44,0.04,0.0
17:00 - 18:00,0.57,0.96,0.79,1.22,0.61,0.0,0.04
18:00 - 19:00,0.83,0.79,0.57,1.18,0.57,0.17,0.0
19:00 - 20:00,0.66,0.87,0.79,0.83,1.84,0.09,0.04
20:00 - 21:00,1.01,1.14,1.57,1.22,1.35,0.04,0.04
21:00 - 22:00,1.62,1.09,1.62,1.57,1.66,0.09,0.09
22:00 - 23:00,2.23,2.05,2.1,1.75,2.84,0.04,0.0
23:00 - 00:00,2.14,1.92,1.66,1.84,2.45,0.04,0.0
