 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,20,214,185,233,220,161,21
01:00 - 02:00,26,156,180,175,173,160,14
02:00 - 03:00,17,111,138,123,133,122,14
03:00 - 04:00,16,100,99,108,125,115,15
04:00 - 05:00,18,91,103,119,78,96,19
05:00 - 06:00,15,81,98,92,101,61,14
06:00 - 07:00,12,57,61,98,80,75,19
07:00 - 08:00,9,73,76,66,97,47,10
08:00 - 09:00,13,50,60,59,55,62,1
09:00 - 10:00,7,45,28,34,27,44,4
10:00 - 11:00,13,22,20,29,28,19,4
11:00 - 12:00,21,14,20,26,20,1,4
12:00 - 13:00,10,18,27,19,21,7,8
13:00 - 14:00,18,25,45,20,32,10,3
14:00 - 15:00,28,42,54,50,41,9,10
15:00 - 16:00,67,80,87,89,80,14,17
16:00 - 17:00,89,135,175,129,123,18,11
17:00 - 18:00,126,150,177,173,153,13,5
18:00 - 19:00,121,186,160,159,129,23,5
19:00 - 20:00,147,156,182,150,142,18,14
20:00 - 21:00,173,197,195,196,156,19,21
21:00 - 22:00,186,256,217,240,202,16,21
22:00 - 23:00,197,257,245,213,182,28,9
23:00 - 00:00,209,258,229,246,180,21,16
