 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.05,1.21,1.43,1.26,1.31,1.23,0.08
01:00 - 02:00,0.05,1.11,1.43,1.21,1.56,1.04,0.04
02:00 - 03:00,0.1,0.9,1.69,0.94,1.02,0.86,0.05
03:00 - 04:00,0.05,0.97,0.81,1.07,0.89,0.7,0.05
04:00 - 05:00,0.09,0.78,0.86,0.76,0.76,0.71,0.05
05:00 - 06:00,0.16,0.65,0.64,0.86,0.72,0.66,0.07
06:00 - 07:00,0.08,0.54,0.57,0.75,0.72,0.51,0.09
07:00 - 08:00,0.06,0.41,0.52,0.8,0.74,0.48,0.04
08:00 - 09:00,0.06,0.36,0.48,0.44,0.48,0.51,0.06
09:00 - 10:00,0.13,0.23,0.3,0.42,0.3,0.23,0.02
10:00 - 11:00,0.17,0.1,0.19,0.12,0.23,0.07,0.01
11:00 - 12:00,0.1,0.12,0.31,0.14,0.19,0.02,0.0
12:00 - 13:00,0.18,0.16,0.12,0.23,0.19,0.05,0.03
13:00 - 14:00,0.23,0.2,0.31,0.27,0.38,0.02,0.04
14:00 - 15:00,0.22,0.44,0.49,0.46,0.56,0.05,0.09
15:00 - 16:00,0.48,0.65,0.48,0.59,0.7,0.02,0.07
16:00 - 17:00,0.71,1.42,1.08,0.8,0.73,0.05,0.02
17:00 - 18:00,0.87,0.97,1.24,1.04,0.94,0.07,0.04
18:00 - 19:00,0.79,0.97,1.63,1.18,0.93,0.05,0.03
19:00 - 20:00,1.75,0.97,1.04,1.07,0.98,0.05,0.03
20:00 - 21:00,1.0,1.04,1.09,1.36,1.08,0.07,0.06
21:00 - 22:00,1.3,1.12,1.63,1.32,1.33,0.07,0.02
22:00 - 23:00,1.01,2.17,1.53,1.61,1.57,0.04,0.02
23:00 - 00:00,1.4,1.36,1.6,1.25,1.64,0.09,0.09
