 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,1.05,1.85,1.23,1.05,0.62,0.06
01:00 - 02:00,0.0,1.48,1.73,1.54,1.17,1.11,0.25
02:00 - 03:00,0.06,0.86,1.54,1.85,1.23,0.86,0.43
03:00 - 04:00,0.06,0.55,1.36,0.62,1.11,0.8,0.18
04:00 - 05:00,0.37,0.92,0.55,0.62,0.68,0.8,0.12
05:00 - 06:00,0.12,0.37,0.43,0.74,0.86,0.68,0.12
06:00 - 07:00,0.06,1.11,0.62,0.62,0.68,0.49,0.0
07:00 - 08:00,0.0,0.86,0.74,0.62,0.55,0.12,0.31
08:00 - 09:00,0.06,0.37,0.43,0.43,0.62,0.86,0.0
09:00 - 10:00,0.06,0.68,0.68,0.8,0.37,0.25,0.18
10:00 - 11:00,0.31,0.37,0.55,0.92,0.74,0.25,0.25
11:00 - 12:00,0.12,0.37,0.43,0.74,0.8,0.06,0.12
12:00 - 13:00,0.43,0.31,0.55,0.49,0.31,0.37,0.12
13:00 - 14:00,0.25,0.43,0.62,0.25,0.31,0.06,0.0
14:00 - 15:00,0.31,0.37,0.43,0.31,0.55,0.12,0.12
15:00 - 16:00,0.55,0.62,0.74,0.37,0.74,0.0,0.0
16:00 - 17:00,0.68,0.74,0.8,0.62,1.17,0.12,0.0
17:00 - 18:00,0.62,0.31,0.55,1.05,0.99,0.25,0.18
18:00 - 19:00,0.49,0.74,0.68,0.99,1.11,0.62,0.0
19:00 - 20:00,0.86,0.86,1.05,0.86,0.49,0.18,0.18
20:00 - 21:00,0.25,0.49,1.17,0.55,1.29,0.37,0.12
21:00 - 22:00,0.86,1.11,0.8,0.68,1.29,0.49,0.06
22:00 - 23:00,0.92,1.6,1.29,1.29,0.8,0.18,0.12
23:00 - 00:00,0.92,2.28,0.86,1.6,0.74,0.12,0.12
