 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.28,1.03,1.1,1.03,1.07,0.83,0.38
01:00 - 02:00,0.14,1.07,0.72,1.24,1.17,0.83,0.21
02:00 - 03:00,0.34,0.59,0.86,0.86,1.07,0.65,0.31
03:00 - 04:00,0.52,0.96,0.65,1.17,0.79,0.69,0.31
04:00 - 05:00,0.14,0.48,0.9,0.69,0.86,0.48,0.17
05:00 - 06:00,0.28,0.62,0.93,0.59,0.86,0.69,0.34
06:00 - 07:00,0.21,0.86,0.72,0.55,0.65,0.45,0.14
07:00 - 08:00,0.69,0.9,0.86,0.45,0.55,0.31,0.14
08:00 - 09:00,0.34,0.69,0.72,0.76,0.72,0.41,0.21
09:00 - 10:00,0.76,0.55,0.48,0.72,0.45,0.52,0.31
10:00 - 11:00,0.45,0.59,0.48,0.69,0.52,0.28,0.45
11:00 - 12:00,0.28,0.52,0.48,0.45,0.48,0.38,0.14
12:00 - 13:00,0.28,0.59,0.24,0.38,0.21,0.31,0.24
13:00 - 14:00,0.21,0.38,0.34,0.48,0.28,0.1,0.17
14:00 - 15:00,0.48,0.31,0.48,0.59,0.24,0.07,0.1
15:00 - 16:00,0.62,0.65,0.76,0.96,0.45,0.07,0.14
16:00 - 17:00,0.55,0.72,0.62,0.79,0.62,0.14,0.14
17:00 - 18:00,0.1,0.72,0.76,0.55,0.79,0.28,0.1
18:00 - 19:00,0.62,0.79,0.62,0.93,0.62,0.14,0.24
19:00 - 20:00,0.96,0.76,0.79,0.9,0.72,0.21,0.14
20:00 - 21:00,0.96,1.21,0.93,1.07,0.93,0.28,0.1
21:00 - 22:00,1.41,0.93,0.72,0.69,1.0,0.17,0.17
22:00 - 23:00,0.83,1.07,1.45,1.14,1.21,0.21,0.38
23:00 - 00:00,1.83,1.38,1.27,1.58,0.93,0.17,0.34
