 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.32,1.06,1.01,1.01,0.91,0.91,0.44
01:00 - 02:00,0.37,1.03,0.62,1.33,0.96,0.57,0.2
02:00 - 03:00,0.39,1.26,1.01,0.99,0.64,0.99,0.27
03:00 - 04:00,0.3,0.81,1.08,0.91,0.62,0.54,0.22
04:00 - 05:00,0.52,1.03,0.74,0.59,0.62,0.86,0.2
05:00 - 06:00,0.54,1.31,0.69,0.89,0.59,0.59,0.1
06:00 - 07:00,0.59,1.08,1.16,1.16,0.69,0.49,0.39
07:00 - 08:00,0.27,1.13,1.28,0.81,0.74,0.34,0.34
08:00 - 09:00,0.39,0.44,0.59,0.44,0.52,0.42,0.27
09:00 - 10:00,0.25,0.42,0.62,0.42,0.34,0.47,0.22
10:00 - 11:00,0.39,0.39,0.25,0.44,0.47,0.57,0.12
11:00 - 12:00,0.37,0.71,0.52,0.42,0.32,0.17,0.22
12:00 - 13:00,0.3,0.44,0.27,0.17,0.2,0.1,0.17
13:00 - 14:00,0.59,0.25,0.3,0.52,0.39,0.39,0.07
14:00 - 15:00,0.44,0.37,0.25,0.25,0.49,0.15,0.25
15:00 - 16:00,0.52,0.37,0.47,0.62,0.39,0.12,0.2
16:00 - 17:00,0.52,0.32,0.49,0.69,0.59,0.02,0.15
17:00 - 18:00,0.62,0.84,0.81,0.52,0.44,0.22,0.15
18:00 - 19:00,0.57,0.62,2.12,0.67,0.54,0.1,0.17
19:00 - 20:00,0.96,0.91,1.16,0.52,0.69,0.27,0.15
20:00 - 21:00,1.16,1.4,0.96,1.03,1.01,0.47,0.15
21:00 - 22:00,0.91,1.06,0.76,0.64,0.69,0.27,0.3
22:00 - 23:00,0.94,1.06,0.94,0.81,1.85,0.3,0.12
23:00 - 00:00,0.99,1.4,1.03,1.26,1.13,0.54,0.22
