 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,13,19,11,7,8,1
01:00 - 02:00,0,5,5,4,8,2,1
02:00 - 03:00,1,4,5,3,3,4,0
03:00 - 04:00,0,2,7,3,3,4,0
04:00 - 05:00,1,6,5,8,3,6,0
05:00 - 06:00,0,2,3,4,5,0,0
06:00 - 07:00,1,2,1,5,1,0,0
07:00 - 08:00,2,1,2,1,1,0,0
08:00 - 09:00,0,0,0,2,0,2,0
09:00 - 10:00,0,2,0,0,0,0,0
10:00 - 11:00,1,0,0,0,2,0,0
11:00 - 12:00,0,0,0,0,1,1,1
12:00 - 13:00,0,0,0,0,0,0,0
13:00 - 14:00,0,2,1,0,0,0,0
14:00 - 15:00,2,1,1,2,0,0,0
15:00 - 16:00,1,2,5,4,1,0,0
16:00 - 17:00,2,1,6,7,2,0,1
17:00 - 18:00,3,6,6,3,1,0,0
18:00 - 19:00,6,8,1,3,2,0,0
19:00 - 20:00,3,2,11,5,2,0,0
20:00 - 21:00,5,13,41,4,10,0,0
21:00 - 22:00,10,12,7,12,1,1,0
22:00 - 23:00,8,12,12,9,9,0,0
23:00 - 00:00,19,20,12,14,5,1,0
