 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.11,1.84,1.84,1.84,1.56,1.5,0.11
01:00 - 02:00,0.11,1.78,1.45,1.78,1.28,1.28,0.06
02:00 - 03:00,0.11,1.06,1.73,1.5,2.17,1.17,0.22
03:00 - 04:00,0.17,1.89,1.89,2.17,1.78,1.34,0.11
04:00 - 05:00,0.17,2.62,1.28,2.79,1.56,1.28,0.11
05:00 - 06:00,0.06,1.45,1.62,3.73,1.11,1.11,0.11
06:00 - 07:00,0.72,0.28,1.0,0.89,0.78,0.89,0.11
07:00 - 08:00,0.45,0.17,0.78,0.61,0.33,0.45,0.06
08:00 - 09:00,0.06,0.11,0.45,0.45,0.45,0.17,0.28
09:00 - 10:00,0.22,0.11,0.17,0.22,0.67,0.0,0.11
10:00 - 11:00,0.11,0.28,0.28,0.78,0.39,0.28,0.06
11:00 - 12:00,0.06,0.11,0.22,0.17,0.33,0.11,0.11
12:00 - 13:00,0.0,0.33,0.33,0.11,0.11,0.0,0.06
13:00 - 14:00,0.06,0.17,0.11,0.11,0.17,0.11,0.0
14:00 - 15:00,0.0,0.06,0.11,0.33,0.28,0.0,0.0
15:00 - 16:00,0.11,0.28,0.33,0.28,0.45,0.0,0.0
16:00 - 17:00,0.39,0.45,0.84,0.22,0.22,0.0,0.0
17:00 - 18:00,0.06,0.22,0.28,0.39,0.22,0.0,0.0
18:00 - 19:00,0.06,0.17,0.11,0.17,0.45,0.0,0.0
19:00 - 20:00,0.0,0.06,0.17,0.06,0.17,0.11,0.0
20:00 - 21:00,0.11,0.17,0.61,0.11,0.17,0.11,0.0
21:00 - 22:00,0.56,0.89,1.11,0.67,0.89,0.06,0.06
22:00 - 23:00,1.06,1.56,1.73,1.5,1.23,0.28,0.0
23:00 - 00:00,1.84,2.84,2.56,1.78,2.01,0.22,0.06
