 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.07,0.46,1.05,0.65,0.78,0.85,0.07
01:00 - 02:00,0.0,0.78,0.26,0.52,0.59,0.33,0.13
02:00 - 03:00,0.2,0.39,0.39,0.85,0.26,0.65,0.13
03:00 - 04:00,0.13,0.33,0.26,0.46,0.65,0.39,0.0
04:00 - 05:00,0.13,0.26,0.26,0.59,0.39,0.33,0.0
05:00 - 06:00,0.26,0.33,0.39,0.59,0.46,0.33,0.26
06:00 - 07:00,0.13,0.2,0.46,0.33,0.52,0.33,0.07
07:00 - 08:00,0.0,0.2,0.26,0.2,0.13,0.26,0.0
08:00 - 09:00,0.07,0.33,0.26,0.52,0.26,0.26,0.0
09:00 - 10:00,0.07,0.07,0.33,0.52,0.26,0.0,0.0
10:00 - 11:00,0.26,0.13,0.2,0.2,0.2,0.0,0.0
11:00 - 12:00,0.2,0.26,0.07,0.0,0.0,0.0,0.07
12:00 - 13:00,0.07,0.2,0.52,0.07,0.0,0.0,0.0
13:00 - 14:00,0.07,0.0,0.0,0.13,0.13,0.0,0.07
14:00 - 15:00,0.59,0.2,0.65,0.39,0.2,0.07,0.07
15:00 - 16:00,0.72,0.78,0.98,0.59,0.65,0.0,0.0
16:00 - 17:00,1.96,1.37,1.57,1.05,1.31,0.0,0.13
17:00 - 18:00,1.63,2.42,1.83,1.83,1.44,0.2,0.07
18:00 - 19:00,1.5,1.44,1.24,1.63,1.11,0.07,0.0
19:00 - 20:00,1.9,2.03,1.57,1.76,1.24,0.13,0.0
20:00 - 21:00,2.16,2.88,2.22,1.37,2.88,0.07,0.0
21:00 - 22:00,1.57,2.55,1.83,1.83,0.85,0.2,0.33
22:00 - 23:00,1.76,2.22,1.31,2.16,1.5,0.13,0.0
23:00 - 00:00,0.92,1.18,2.35,1.9,0.52,0.0,0.0
