 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,5,26,46,26,18,34,0
01:00 - 02:00,0,30,24,11,15,35,0
02:00 - 03:00,0,33,27,17,25,21,1
03:00 - 04:00,1,27,17,30,19,17,2
04:00 - 05:00,3,18,30,42,32,32,7
05:00 - 06:00,1,28,20,15,23,18,5
06:00 - 07:00,1,6,78,12,17,5,2
07:00 - 08:00,3,15,18,8,203,1,1
08:00 - 09:00,16,26,15,15,17,1,0
09:00 - 10:00,11,18,9,9,13,1,1
10:00 - 11:00,14,13,4,11,13,2,0
11:00 - 12:00,12,17,8,16,15,2,0
12:00 - 13:00,20,9,12,20,32,0,0
13:00 - 14:00,10,12,9,20,33,0,4
14:00 - 15:00,14,5,8,7,26,1,3
15:00 - 16:00,7,4,13,14,9,2,1
16:00 - 17:00,11,24,15,13,14,1,5
17:00 - 18:00,27,23,23,30,19,2,2
18:00 - 19:00,11,33,46,45,30,7,1
19:00 - 20:00,43,11,26,39,18,3,1
20:00 - 21:00,25,24,21,34,34,3,2
21:00 - 22:00,29,38,42,36,34,6,3
22:00 - 23:00,38,66,40,39,35,6,3
23:00 - 00:00,39,58,61,36,40,0,10
