 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.95,1.52,1.71,0.95,0.95,0.19
01:00 - 02:00,0.0,0.76,1.52,0.76,1.33,1.14,0.19
02:00 - 03:00,0.0,0.76,1.71,1.52,0.95,1.33,0.19
03:00 - 04:00,0.76,1.14,0.57,0.57,0.76,0.38,0.38
04:00 - 05:00,0.0,0.76,1.14,1.14,1.33,0.38,0.0
05:00 - 06:00,0.38,0.76,0.38,0.76,0.57,0.19,0.0
06:00 - 07:00,0.0,0.19,0.0,0.95,0.38,0.57,0.38
07:00 - 08:00,0.0,0.19,0.76,0.38,0.19,0.0,0.19
08:00 - 09:00,0.19,0.19,0.76,0.38,0.38,0.0,0.0
09:00 - 10:00,0.19,0.0,0.19,0.19,0.38,0.0,0.0
10:00 - 11:00,0.19,0.38,0.38,0.38,0.19,0.0,0.19
11:00 - 12:00,0.38,0.19,0.19,0.19,0.57,0.0,0.0
12:00 - 13:00,0.57,0.38,0.0,0.0,0.0,0.0,0.0
13:00 - 14:00,0.19,0.0,0.19,0.0,0.19,0.0,0.19
14:00 - 15:00,0.19,0.95,0.76,0.19,0.19,0.0,0.19
15:00 - 16:00,0.19,1.33,0.0,0.57,0.38,0.19,0.0
16:00 - 17:00,0.57,0.57,0.19,0.57,0.19,0.0,0.0
17:00 - 18:00,1.14,1.52,1.71,1.14,1.52,0.0,0.0
18:00 - 19:00,1.33,0.95,1.33,1.14,1.14,0.0,0.19
19:00 - 20:00,0.95,0.38,1.52,2.47,1.9,0.38,0.19
20:00 - 21:00,1.33,1.52,1.33,1.14,1.9,0.38,0.0
21:00 - 22:00,1.71,1.9,1.33,0.76,1.33,0.0,0.0
22:00 - 23:00,2.09,0.57,1.14,1.33,1.52,0.38,0.0
23:00 - 00:00,1.71,0.57,1.33,1.71,1.52,0.57,0.0
